skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
11448654,2700222,1884190,97590696,8308384,0,402374,10772006,123662,4523890,10286612,0,27706,166250
11464502,2912714,1861006,101464398,8347094,42,412650,10774316,124950,4784752,10098774,0,27888,165788
11402538,2936374,1894312,102290300,8332842,0,417354,10662904,125272,4749766,10187856,0,27748,165830
11481036,2979214,1782382,102828012,8365868,0,420434,10675994,125944,4561872,10164784,0,27846,165620
11450852,2975882,1861370,105059906,8298682,0,403886,10663646,125664,4569852,10217858,0,27986,160314
11520950,2983736,1862504,105702044,8328124,0,399854,10666922,125188,4606518,10448158,0,28280,160132
11381370,3069304,1822086,76527556,8319276,140,429072,10657304,124992,4564686,14515116,0,27776,159236
11829818,3593590,1634920,123401712,8080422,140,540064,10643654,126406,4452588,10065888,0,27636,159292
12050598,3624922,1745268,122276364,8047984,112,538230,10752546,127246,4578350,10031630,0,27846,159236
12040826,3622570,1626100,119235410,8040676,140,530866,10759658,126420,4369890,9878946,0,27888,159810
12030480,3622262,1840426,122675798,8014188,112,552076,10751902,126980,4613784,10146318,0,27790,163814
12046678,3628044,1866732,118028848,8011038,140,543032,10755136,126546,4546654,10179694,0,28140,165508
