Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707864877,Device: id=1,RX,0.10148088182713,279.11615935977,295.35310045211,119013,40917130
1707864878,Device: id=1,RX,0.22659688153889,639.6927324503,675.94823349653,345613,120879822
1707864879,Device: id=1,RX,0.24969528386847,708.34826889082,748.29951430978,599126,210777142
1707864880,Device: id=1,RX,0.63226257370798,1785.2434590633,1886.4054708566,1231405,433938372
1707864881,Device: id=1,RX,1.7391171540217,4915.115290105,5193.3740347484,2970537,1048333028
1707864882,Device: id=1,RX,1.7514883724317,4953.9375424806,5234.1756820696,4722032,1667577564
1707864883,Device: id=1,RX,1.7511110865405,4956.3391505633,5236.5169244098,6473149,2287122050
1707864884,Device: id=1,RX,1.7518934507479,4957.1451747618,5237.4481268815,8225060,2906771404
1707864885,Device: id=1,RX,1.7470858284079,4939.4311114274,5218.9648439726,9972152,3524202474
1707864886,Device: id=1,RX,1.7501913748864,4949.8147767984,5229.8453967803,11722365,4142936966
1707864887,Device: id=1,RX,1.6616215144132,4679.8545795528,4945.7140218589,13383998,4727922832
1707864888,Device: id=1,RX,1.7529641240675,4960.1218739254,5240.5961337762,15136996,5347950048
