Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707864877,Device: id=0,TX,0.26581055155355,753.12634408774,795.6560323363,265840,94152076
1707864878,Device: id=0,TX,0.1974785574166,560.42936401309,592.02593319974,465831,165097012
1707864879,Device: id=0,TX,0.2479471363013,702.04567284181,741.71721465002,715624,253506026
1707864880,Device: id=0,TX,0.39680141017202,1118.9575932825,1182.44581891,1112436,393379458
1707864881,Device: id=0,TX,1.7442593854454,4932.8222457597,5211.9037474309,2856704,1009985284
1707864882,Device: id=0,TX,1.753544211074,4957.5887553777,5238.1558291496,4610261,1629688398
1707864883,Device: id=0,TX,1.751968445733,4958.6828675435,5238.9978188607,6362252,2249531736
1707864884,Device: id=0,TX,1.7535931524288,4961.6701792579,5242.2450836465,8115859,2869745406
1707864885,Device: id=0,TX,1.7544115710985,4960.8182870992,5241.524138475,9870292,3489855266
1707864886,Device: id=0,TX,1.7476542566919,4943.531802088,5223.1564831587,11617976,4107807258
1707864887,Device: id=0,TX,1.7482627804795,4944.5099586782,5224.2320035549,13366274,4725883454
1707864888,Device: id=0,TX,1.7536998308538,4960.0078525561,5240.5998254927,15120016,5345899344
