System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-14,13:24:39.640,0.22,2.50,0.09,1.12,0.14,21.23,0.99,0.21,0.0000,0.0018, 12200,0.61,0.53,99,50,11513.58,4609.92,2599.11,5.00,124.88,0.44,11.07,0.05,1.52,0.03,1.22,0.05,3.36,0.98,0.57,0.0000,0.0014, 23720,0.38,0.02,96,45,2419.74,1590.61,2599.11,3.04,76.06,0.09,2.33,7.95,65.97,0.08,26.00,0.00,100.00,0.00,0.00,0.00,0.00,2.52,28.12,0.20,69.17,0.00,100.00,0.00,0.00,0.00,0.00,72.79,52.50,4.51 ,4.41 ,942220.95 ,949594.12 ,3.00,3.00,0.71,2.94,0.24,1.12,0.00,2.59,1.00,0.11,0.0000,0.0014,   480,21.62,78.38,0.00,0.00,0.00,52,1846.32,626.95,2599.11,5.89,147.25,1.42,35.52,
2024-02-14,13:24:40.640,0.19,2.42,0.08,1.12,0.14,21.63,0.99,0.21,0.0000,0.0021, 14800,0.73,0.64,99,49,10069.69,4164.27,2595.77,4.84,120.91,0.39,9.70,0.04,1.64,0.03,1.22,0.01,2.92,1.00,0.39,0.0000,0.0013, 23320,0.43,0.01,95,44,2266.48,1384.79,2595.77,3.27,81.84,0.09,2.18,7.19,66.34,0.02,26.44,0.00,100.00,0.00,0.00,0.00,0.00,2.18,27.79,0.14,69.89,0.00,100.00,0.00,0.00,0.00,0.00,72.29,52.36,4.55 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.63,2.84,0.22,1.12,0.00,2.66,1.00,0.11,0.0000,0.0016,   720,19.75,80.25,0.00,0.00,0.00,52,1624.56,571.71,2595.77,5.68,142.08,1.25,31.29,
2024-02-14,13:24:41.640,0.19,2.46,0.08,1.12,0.13,21.70,0.99,0.20,0.0000,0.0021, 15760,0.72,0.63,99,49,10122.38,4122.86,2598.16,4.91,122.76,0.39,9.74,0.04,1.65,0.03,1.23,0.01,2.89,1.00,0.39,0.0000,0.0013, 22920,0.42,0.01,96,44,2273.17,1374.56,2598.16,3.31,82.69,0.09,2.19,7.11,66.32,0.02,26.55,0.00,100.00,0.00,0.00,0.00,0.00,2.16,27.68,0.11,70.05,0.00,100.00,0.00,0.00,0.00,0.00,72.39,52.43,4.55 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.62,2.85,0.22,1.12,0.00,2.68,1.00,0.11,0.0000,0.0017,   920,19.66,80.34,0.00,0.00,0.00,52,1621.87,569.82,2598.16,5.69,142.32,1.25,31.21,
2024-02-14,13:24:42.640,0.19,2.44,0.08,1.12,0.13,21.91,0.99,0.21,0.0000,0.0022, 16120,0.72,0.63,99,49,10095.75,4144.68,2598.01,4.87,121.79,0.39,9.71,0.04,1.65,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23320,0.41,0.01,95,44,2277.00,1378.69,2598.01,3.30,82.58,0.09,2.19,7.15,66.29,0.01,26.55,0.00,100.00,0.00,0.00,0.00,0.00,2.17,27.77,0.16,69.91,0.00,100.00,0.00,0.00,0.00,0.00,72.51,52.47,4.57 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.63,2.87,0.22,1.12,0.00,2.71,1.00,0.11,0.0000,0.0017,   800,19.68,80.32,0.00,0.00,0.00,51,1634.02,570.22,2598.01,5.73,143.28,1.26,31.45,
2024-02-14,13:24:43.641,0.20,2.46,0.08,1.12,0.13,22.06,0.99,0.20,0.0000,0.0022, 16720,0.71,0.62,99,47,10143.42,4126.21,2598.06,4.92,122.91,0.39,9.76,0.04,1.65,0.03,1.22,0.01,2.99,1.00,0.39,0.0000,0.0013, 22760,0.41,0.01,95,44,2276.50,1382.59,2598.06,3.29,82.33,0.09,2.19,7.12,66.49,0.01,26.38,0.00,100.00,0.00,0.00,0.00,0.00,2.18,27.76,0.13,69.94,0.00,100.00,0.00,0.00,0.00,0.00,72.55,52.56,4.56 ,4.39 ,0.03 ,97102.19 ,3.00,3.00,0.63,2.85,0.22,1.12,0.00,2.74,1.00,0.11,0.0000,0.0017,   880,19.70,80.30,0.00,0.00,0.00,51,1630.03,571.01,2598.06,5.71,142.73,1.25,31.37,
2024-02-14,13:24:44.640,0.20,2.43,0.08,1.12,0.14,22.01,0.99,0.21,0.0000,0.0022, 15840,0.71,0.62,99,49,10158.75,4173.20,2596.18,4.87,121.71,0.39,9.78,0.04,1.63,0.03,1.22,0.02,2.99,0.99,0.39,0.0000,0.0013, 23360,0.43,0.01,95,42,2247.36,1374.59,2596.18,3.27,81.75,0.09,2.16,7.21,66.74,0.07,25.99,0.00,100.00,0.00,0.00,0.00,0.00,2.17,28.28,0.17,69.38,0.00,100.00,0.00,0.00,0.00,0.00,72.55,52.50,4.54 ,4.39 ,542533.44 ,0.20 ,3.00,3.00,0.63,2.88,0.22,1.12,0.00,2.72,1.00,0.11,0.0000,0.0017,   560,19.68,80.32,0.00,0.00,0.00,52,1641.92,569.91,2596.18,5.76,144.05,1.26,31.62,
2024-02-14,13:24:45.641,0.20,2.49,0.08,1.12,0.11,22.21,1.00,0.20,0.0000,0.0022, 17320,0.70,0.61,99,47,10233.53,4109.41,2598.02,4.98,124.51,0.39,9.85,0.04,1.65,0.03,1.22,0.01,2.94,1.00,0.39,0.0000,0.0013, 23160,0.43,0.01,96,43,2271.32,1379.76,2598.02,3.29,82.31,0.09,2.19,7.09,66.42,0.03,26.45,0.00,100.00,0.00,0.00,0.00,0.00,2.17,27.76,0.14,69.93,0.00,100.00,0.00,0.00,0.00,0.00,72.68,52.58,4.55 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.63,2.89,0.22,1.12,0.00,2.77,1.00,0.11,0.0000,0.0017,   680,19.70,80.30,0.00,0.00,0.00,51,1647.27,570.90,2598.02,5.77,144.27,1.27,31.70,
2024-02-14,13:24:46.641,0.20,2.36,0.08,1.12,0.20,21.90,0.99,0.21,0.0000,0.0021, 18920,0.71,0.64,97,48,10201.82,4317.12,2598.07,4.73,118.16,0.39,9.82,0.04,1.40,0.03,1.20,0.17,4.02,0.96,0.43,0.0001,0.0017, 22720,0.51,0.05,91,42,2304.38,1642.37,2598.07,2.81,70.15,0.09,2.22,7.45,67.96,0.12,24.48,0.00,100.00,0.00,0.00,0.00,0.00,2.64,32.36,0.20,64.80,0.00,100.00,0.00,0.00,0.00,0.00,73.14,53.92,4.54 ,4.45 ,0.00 ,0.03 ,3.00,3.00,0.64,2.89,0.22,1.12,0.00,2.67,1.00,0.11,0.0000,0.0016,   800,19.70,80.30,0.00,0.00,0.00,51,1649.90,570.76,2598.07,5.78,144.53,1.27,31.75,
2024-02-14,13:24:47.641,0.20,2.55,0.08,1.12,0.10,23.70,1.00,0.20,0.0000,0.0023, 19000,0.63,0.58,99,46,10514.19,4116.43,2595.36,5.11,127.71,0.41,10.13,0.04,1.66,0.03,1.22,0.02,2.88,0.99,0.40,0.0000,0.0013, 22600,0.45,0.01,96,42,2286.68,1377.51,2595.36,3.32,83.00,0.09,2.20,7.11,66.25,0.02,26.62,0.00,100.00,0.00,0.00,0.00,0.00,2.17,27.67,0.16,70.00,0.00,100.00,0.00,0.00,0.00,0.00,73.03,52.57,4.50 ,4.39 ,0.00 ,0.03 ,3.00,3.00,0.65,2.94,0.22,1.12,0.01,3.02,1.00,0.11,0.0000,0.0018,  1360,19.72,80.28,0.00,0.00,0.00,50,1678.78,571.00,2595.36,5.88,147.00,1.29,32.34,
