Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9445045218,2609768,1822380,98501802,8278676,140,411894(Total)
0,637255584,1472814,30016,1348424,4759580,14,401086(Miss)
0,8807789634,1136954,1792364,97153378,3519096,126,10808(Hit)
1,86670934,127778,4761106,10414376,0,27846,165844(Total)
1,89348644,0,9520,617624,0,27762,163324(Miss)
1,0,127778,4751586,9796752,0,84,2520(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11490710,2681392,2606674,98629314,8252104,0,422618(Total)
0,13636,1377796,29148,1449644,4777724,126,405692(Miss)
0,11477074,1303596,2577526,97179670,3474380,0,16926(Hit)
1,10717000,126210,4910948,10384248,0,27972,166390(Total)
1,6473180,0,2912,25004,0,27650,162218(Miss)
