skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
9445045218,2609768,1822380,98501802,8278676,140,411894,637255584,1472814,30016,1348424,4759580,14,401086,8807789634,1136954,1792364,97153378,3519096,126,10808,86670934,127778,4761106,10414376,0,27846,165844,89348644,0,9520,617624,0,27762,163324,0,127778,4751586,9796752,0,84,2520
11490710,2681392,2606674,98629314,8252104,0,422618,13636,1377796,29148,1449644,4777724,126,405692,11477074,1303596,2577526,97179670,3474380,0,16926,10717000,126210,4910948,10384248,0,27972,166390,6473180,0,2912,25004,0,27650,162218,4243820,126210,4908036,10359244,0,322,4172
11579862,2762536,1830752,100276232,8197140,0,428344,7154,1303218,21602,1440964,4712218,140,407862,11572708,1459318,1809150,98835268,3484922,0,20482,10728452,125538,4847612,10579870,0,28000,166488,6190856,0,252,8120,0,27706,163142,4537596,125538,4847360,10571750,0,294,3346
11537470,2865632,2680874,101744874,8257998,0,442792,7000,1253098,64694,1430646,4712834,140,419356,11530470,1612534,2616180,100314228,3545164,0,23436,10664640,126434,5714786,10987508,0,28196,166558,6043492,0,322,6510,0,27622,162848,4621148,126434,5714464,10980998,0,574,3710
11467554,3044440,4075330,102164832,8240848,0,449274,6496,1220912,20062,1610588,4686220,140,433356,11461058,1823528,4055268,100554244,3554628,0,15918,10606624,124348,6319068,11163684,0,28042,165480,5952562,0,14462,31178,0,27692,164836,4654062,124348,6304606,11132506,0,350,644
11476500,2950430,2968602,101464860,8220968,0,437962,10430,1187200,94290,1529136,4643058,112,433496,11466070,1763230,2874312,99935724,3577910,0,4466,10579744,119980,8190714,11233586,0,27818,164122,6011810,0,182,248024,0,27762,164234,4567934,119980,8190532,10985562,0,56,0
11529938,3124674,3383114,103612852,8219036,0,445550,3682,1157296,88130,1551046,4615044,140,383446,11526256,1967378,3294984,102061806,3603992,0,62104,10610306,125342,5658688,10694264,0,27958,163422,6329708,0,70,108276,0,27818,163758,4280598,125342,5658618,10585988,0,140,0
11370646,2340842,3776220,95394474,8130052,140,517636,2506,1155462,173796,1509256,4654006,140,521696,11368140,1185380,3602424,93885218,3476046,0,0,10615864,126448,11354448,15294398,0,27482,163184,6273750,0,365330,724990,0,27636,166684,4342114,126448,10989118,14569408,0,0,0
11715830,3402602,1713054,112039564,8149946,140,515144,2212,1121036,29680,1657950,4476010,140,531636,11713618,2281566,1683374,110381614,3673936,0,0,10587710,125202,4744558,10046862,0,27496,163030,6675942,0,2366,250208,0,27790,166124,3911768,125202,4742192,9796654,0,0,0
11734464,3390912,1708476,110889506,8161636,140,513254,1582,1077972,89138,1700552,4481694,112,515746,11732882,2312940,1619338,109188954,3679942,28,0,10600366,124964,4698708,9914814,0,27510,161938,6434106,0,2170,194250,0,27664,167146,4166260,124964,4696538,9720564,0,0,0
11774518,3476928,1646106,110353656,8126398,112,507962,1806,1057168,30226,1728258,4517324,0,525742,11772712,2419760,1615880,108625398,3609074,112,0,10623172,126392,4749486,10234574,0,27510,161182,6304900,0,2366,158872,0,28014,165844,4318272,126392,4747120,10075702,0,0,0
11744754,3199560,1812720,108263722,8126552,140,516376,1596,1046094,57694,1688624,4475646,0,528808,11743158,2153466,1755026,106575098,3650906,140,0,10626112,126896,4940838,10303188,0,27482,162890,6319194,0,2058,156142,0,27944,166460,4306918,126896,4938780,10147046,0,0,0
