Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707913475,Device: id=1,RX,0.11937446163248,332.08126428669,351.18117814788,141625,49247352
1707913476,Device: id=1,RX,0.19828403736249,552.06338158692,583.78882756492,339999,118286584
1707913477,Device: id=1,RX,0.2349265259648,663.54465622969,701.13290038406,582444,203884136
1707913478,Device: id=1,RX,0.61592564604786,1745.0004145088,1843.5485178765,1198390,422016396
1707913479,Device: id=1,RX,1.7467508602873,4934.2145518527,5213.6946894987,2945168,1038802798
1707913480,Device: id=1,RX,1.7537048765981,4955.883257547,5236.4760378027,4698919,1658304498
1707913481,Device: id=1,RX,1.7532541532304,4960.8093713683,5241.3300358852,6452196,2278413750
1707913482,Device: id=1,RX,1.7558120971799,4956.0859433294,5237.0158788782,8208048,2897938572
1707913483,Device: id=1,RX,1.750398773624,4953.1025709264,5233.1663747063,9958452,3517078242
1707913484,Device: id=1,RX,1.74719854707,4940.0661731127,5219.6179406439,11705654,4134587734
1707913485,Device: id=1,RX,1.7524450276227,4960.2745099392,5240.6657143588,13458120,4754629468
1707913486,Device: id=1,RX,1.7270868857427,4890.4093342072,5166.743235926,15185231,5365939170
