Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707913475,Device: id=0,TX,0.26868095061976,760.88038010068,803.86933219984,273786,96922284
1707913476,Device: id=0,TX,0.19567222681012,553.46423799327,584.77179428289,472590,167212602
1707913477,Device: id=0,TX,0.23898983081609,674.1746723728,712.41304530337,712537,251821950
1707913478,Device: id=0,TX,0.36281942521116,1027.6978070996,1085.7489151334,1075366,380287566
1707913479,Device: id=0,TX,1.7475789075024,4940.1142541916,5219.726879392,2822955,997805414
1707913480,Device: id=0,TX,1.7545293821671,4959.3180141645,5240.0427153112,4577491,1617722504
1707913481,Device: id=0,TX,1.7550126908699,4962.7218727235,5243.5239032626,6332747,2238148740
1707913482,Device: id=0,TX,1.7573670469975,4962.8126684762,5243.9913959958,8090167,2858519016
1707913483,Device: id=0,TX,1.7547400806742,4962.9140621391,5243.672475047,9844914,3478885720
1707913484,Device: id=0,TX,1.7491119729872,4943.0373613124,5222.8952769904,11594039,4096769992
1707913485,Device: id=0,TX,1.7537139485123,4961.8425769817,5242.4368087436,13347766,4717004930
1707913486,Device: id=0,TX,1.7491699346158,4959.9244258973,5239.7916154358,15096944,5336998342
