System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2025-09-10,00:30:46.505,0.06,1.70,0.04,1.09,0.44,15.58,0.97,0.38,0.0001,0.0025,0.17,2.10,99,6292.30,3706.93,2623.10,3.39,84.87,0.12,3.00,3.24,5.86,0.09,90.81,0.00,63.82,36.18,0.00,0.00,0.00,68.90,7.53,1513638.09,2.32,0.12,1.77,0.07,1.18,0.22,13.20,0.98,0.38,0.0000,0.0021, 12640,0.16,2.09,99,47,6166.37,3481.04,2623.10,3.54,88.57,0.24,5.88,0.00,0.56,0.00,0.49,0.22,2.39,0.91,0.38,0.0017,0.0189, 19840,0.02,0.01,71,49,125.92,225.90,2623.10,1.11,27.87,0.00,0.12,5.61,6.80,0.13,87.46,0.00,100.00,0.00,0.00,0.00,0.00,0.87,4.92,0.05,94.17,0.00,27.64,72.36,0.00,0.00,0.00,45.57,23.33,4.88 ,2.64 ,816730.72 ,3776427.63 ,3.00,1.64,2.33,1.84,1.26,1.27,0.07,11.26,0.99,0.39,0.0000,0.0018,   920,99.85,0.15,0.00,0.00,0.00,46,6112.26,3313.88,2623.10,3.69,92.22,4.66,116.51,
2025-09-10,00:30:47.505,0.06,1.69,0.04,1.07,0.24,16.01,0.99,0.37,0.0000,0.0026,0.16,2.09,99,6206.47,3670.91,2597.51,3.38,84.54,0.12,2.99,3.30,4.29,0.06,92.35,0.00,56.52,43.48,0.00,0.00,0.00,63.72,7.13,0.24,2.10,0.12,1.76,0.07,1.18,0.12,12.79,0.99,0.38,0.0000,0.0021, 14160,0.15,2.08,99,47,6031.71,3420.94,2597.51,3.53,88.16,0.23,5.81,0.00,0.70,0.00,0.46,0.11,3.22,0.96,0.36,0.0007,0.0184, 21520,0.01,0.01,75,49,174.76,249.97,2597.51,1.40,34.96,0.01,0.17,5.56,6.52,0.07,87.85,0.00,100.00,0.00,0.00,0.00,0.00,1.04,2.06,0.05,96.85,0.00,13.03,86.97,0.00,0.00,0.00,44.96,18.76,4.82 ,2.31 ,0.33 ,0.00 ,3.00,1.20,2.31,1.83,1.26,1.26,0.05,11.12,1.00,0.39,0.0000,0.0019,  1480,99.78,0.22,0.00,0.00,0.00,47,5989.39,3278.62,2597.51,3.65,91.34,4.61,115.29,
2025-09-10,00:30:48.506,0.06,1.70,0.03,1.10,0.24,14.49,0.98,0.38,0.0000,0.0024,0.16,2.09,99,6121.29,3611.22,2598.10,3.39,84.75,0.12,2.95,3.16,3.91,0.08,92.84,0.00,54.86,45.14,0.00,0.00,0.00,63.60,7.01,0.24,2.10,0.12,1.76,0.07,1.19,0.16,12.44,0.99,0.38,0.0000,0.0021, 15200,0.15,2.09,99,46,6024.13,3420.97,2598.10,3.52,88.05,0.23,5.80,0.00,0.51,0.00,0.46,0.08,2.05,0.96,0.38,0.0008,0.0211, 21320,0.01,0.00,67,50,97.15,190.25,2598.10,1.02,25.53,0.00,0.09,5.53,6.27,0.08,88.12,0.00,100.00,0.00,0.00,0.00,0.00,0.79,1.56,0.09,97.56,0.00,9.72,90.28,0.00,0.00,0.00,44.94,18.66,4.83 ,2.19 ,0.33 ,0.00 ,3.00,1.20,2.30,1.82,1.26,1.27,0.11,11.12,0.99,0.39,0.0000,0.0019,  2480,99.87,0.13,0.00,0.00,0.00,46,5987.80,3284.44,2598.10,3.65,91.15,4.61,115.23,
2025-09-10,00:30:49.506,0.06,1.70,0.03,1.11,0.22,14.78,0.98,0.37,0.0000,0.0024,0.15,2.09,99,6081.26,3577.09,2598.03,3.40,85.00,0.12,2.93,3.10,4.06,0.04,92.80,0.00,53.01,46.99,0.00,0.00,0.00,63.65,6.96,483978.00,2.10,0.12,1.76,0.07,1.18,0.14,12.91,0.99,0.38,0.0000,0.0021, 15160,0.15,2.09,99,46,6038.84,3427.20,2598.03,3.52,88.10,0.23,5.81,0.00,0.28,0.00,0.46,0.08,1.87,0.96,0.28,0.0018,0.0440, 21560,0.01,0.00,52,49,42.41,149.89,2598.03,0.57,14.15,0.00,0.04,5.57,6.69,0.04,87.69,0.00,100.00,0.00,0.00,0.00,0.00,0.62,1.43,0.03,97.91,0.00,6.01,93.99,0.00,0.00,0.00,45.01,18.64,4.83 ,2.14 ,474277.75 ,0.00 ,3.00,1.20,2.31,1.83,1.26,1.26,0.06,11.12,0.99,0.39,0.0000,0.0019,  2400,99.83,0.17,0.00,0.00,0.00,47,5993.91,3280.76,2598.03,3.65,91.35,4.61,115.36,
2025-09-10,00:30:50.505,0.06,1.71,0.03,1.12,0.16,13.99,0.99,0.38,0.0000,0.0023,0.15,2.08,99,6084.25,3558.60,2595.38,3.42,85.49,0.12,2.93,3.06,3.69,0.07,93.18,0.00,53.04,46.96,0.00,0.00,0.00,63.57,6.90,0.05,2.10,0.12,1.77,0.07,1.19,0.08,12.51,0.99,0.38,0.0000,0.0021, 15360,0.14,2.08,99,47,6038.94,3412.85,2595.38,3.54,88.47,0.23,5.82,0.00,0.31,0.00,0.46,0.08,1.48,0.94,0.36,0.0018,0.0326, 22080,0.01,0.00,71,48,45.31,145.75,2595.38,0.62,15.54,0.00,0.04,5.51,6.25,0.10,88.13,0.00,100.00,0.00,0.00,0.00,0.00,0.61,1.14,0.03,98.22,0.00,6.08,93.92,0.00,0.00,0.00,44.99,18.57,4.81 ,2.09 ,0.07 ,0.00 ,3.00,1.20,2.31,1.83,1.26,1.27,0.03,11.09,1.00,0.39,0.0000,0.0018,  2560,99.90,0.10,0.00,0.00,0.00,47,6003.77,3283.14,2595.38,3.66,91.43,4.63,115.66,
2025-09-10,00:30:51.506,0.06,1.70,0.03,1.10,0.23,15.06,0.98,0.37,0.0000,0.0025,0.16,2.09,99,6110.57,3598.32,2598.01,3.40,84.91,0.12,2.94,3.15,5.95,0.10,90.80,0.00,65.14,34.86,0.00,0.00,0.00,63.87,7.08,0.48,2.10,0.12,1.76,0.07,1.17,0.15,13.17,0.99,0.38,0.0000,0.0022, 16280,0.15,2.08,99,46,6069.24,3443.73,2598.01,3.52,88.12,0.23,5.84,0.00,0.27,0.00,0.46,0.08,1.88,0.96,0.29,0.0020,0.0456, 22640,0.01,0.00,50,48,41.33,154.59,2598.01,0.53,13.37,0.00,0.04,5.66,7.91,0.13,86.30,0.00,100.00,0.00,0.00,0.00,0.00,0.64,4.00,0.06,95.30,0.00,30.29,69.71,0.00,0.00,0.00,45.22,18.64,4.81 ,2.28 ,0.33 ,0.83 ,3.00,1.20,2.31,1.83,1.26,1.26,0.03,11.12,1.00,0.39,0.0000,0.0019,  2720,99.77,0.23,0.00,0.00,0.00,45,5992.40,3276.19,2598.01,3.66,91.45,4.61,115.33,
2025-09-10,00:30:52.506,0.06,1.64,0.03,1.12,0.16,15.48,0.99,0.38,0.0000,0.0027,0.17,2.34,99,5841.78,3563.38,2597.96,3.28,81.97,0.11,2.81,3.06,3.66,0.03,93.25,0.00,53.21,46.79,0.00,0.00,0.00,63.70,7.01,0.07,2.10,0.11,1.70,0.07,1.20,0.08,13.65,0.99,0.38,0.0000,0.0024, 16280,0.16,2.34,99,45,5791.54,3409.37,2597.96,3.40,84.94,0.22,5.57,0.00,0.33,0.00,0.46,0.07,1.83,0.96,0.36,0.0015,0.0365, 22760,0.01,0.00,63,49,50.25,154.00,2597.96,0.65,16.31,0.00,0.05,5.47,6.05,0.05,88.43,0.00,100.00,0.00,0.00,0.00,0.00,0.64,1.27,0.02,98.07,0.00,6.42,93.58,0.00,0.00,0.00,45.07,18.63,4.91 ,2.09 ,0.10 ,0.00 ,3.00,1.20,2.22,1.75,1.26,1.27,0.03,12.46,1.00,0.39,0.0000,0.0022,  3160,99.89,0.11,0.00,0.00,0.00,47,5759.56,3286.39,2597.96,3.51,87.63,4.43,110.85,
2025-09-10,00:30:53.507,0.05,1.34,0.03,1.15,0.11,19.98,0.99,0.38,0.0000,0.0042,0.24,3.48,99,4706.09,3508.76,2597.92,2.68,67.06,0.09,2.26,2.94,3.26,0.04,93.76,0.00,52.47,47.53,0.00,0.00,0.00,63.94,7.42,0.10,2.10,0.09,1.37,0.07,1.20,0.09,19.39,1.00,0.39,0.0000,0.0041, 16320,0.24,3.48,99,46,4686.63,3409.89,2597.92,2.75,68.72,0.18,4.51,0.00,0.20,0.00,0.46,0.03,0.59,0.96,0.25,0.0013,0.0304, 22520,0.00,0.00,38,48,19.46,98.88,2597.92,0.39,9.84,0.00,0.02,5.47,5.81,0.02,88.69,0.00,100.00,0.00,0.00,0.00,0.00,0.41,0.70,0.05,98.83,0.00,4.93,95.07,0.00,0.00,0.00,45.40,18.53,5.30 ,2.12 ,0.07 ,0.17 ,3.00,1.20,1.78,1.41,1.27,1.27,0.04,18.59,1.00,0.39,0.0000,0.0040,  3600,99.93,0.07,0.00,0.00,0.00,46,4625.65,3290.94,2597.92,2.81,70.28,3.56,89.03,
2025-09-10,00:30:54.506,0.05,1.32,0.03,1.13,0.14,21.33,0.99,0.38,0.0000,0.0045,0.24,3.46,99,4687.38,3550.93,2595.82,2.64,66.00,0.09,2.26,3.04,3.63,0.04,93.29,0.00,52.72,47.28,0.00,0.00,0.00,63.95,7.39,0.02,2.10,0.09,1.36,0.07,1.20,0.09,19.84,1.00,0.38,0.0000,0.0043, 16120,0.23,3.46,99,46,4648.99,3410.88,2595.82,2.73,68.15,0.18,4.48,0.00,0.27,0.00,0.46,0.05,1.48,0.96,0.36,0.0014,0.0386, 22960,0.00,0.00,45,48,38.39,140.06,2595.82,0.55,13.71,0.00,0.04,5.49,6.12,0.05,88.34,0.00,100.00,0.00,0.00,0.00,0.00,0.58,1.14,0.04,98.24,0.00,5.45,94.55,0.00,0.00,0.00,45.34,18.61,5.30 ,2.08 ,0.03 ,0.00 ,3.00,1.20,1.78,1.41,1.27,1.27,0.03,18.56,1.00,0.39,0.0000,0.0040,  3760,99.91,0.09,0.00,0.00,0.00,46,4614.87,3284.09,2595.82,2.81,70.26,3.56,88.89,
