System-Date,System-Time,System-EXEC,System-IPC,System-FREQ,System-AFREQ,System-L3MISS,System-L2MISS,System-L3HIT,System-L2HIT,System-L3MPI,System-L2MPI,System-READ,System-WRITE,System-LOCAL,System-INST,System-ACYC,System-TIME(ticks),System-PhysIPC,System-PhysIPC%,System-INSTnom,System-INSTnom%,System Core C-States-C0res%,System Core C-States-C1res%,System Core C-States-C3res%,System Core C-States-C6res%,System Core C-States-C7res%,System Pack C-States-C0res%,System Pack C-States-C2res%,System Pack C-States-C3res%,System Pack C-States-C6res%,System Pack C-States-C7res%,System-Proc Energy (Joules),System-DRAM Energy (Joules),System-LLCRDMISSLAT (ns),System-UncFREQ (Ghz),Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core0 (Socket 0)-EXEC,Core0 (Socket 0)-IPC,Core0 (Socket 0)-FREQ,Core0 (Socket 0)-AFREQ,Core0 (Socket 0)-L3MISS,Core0 (Socket 0)-L2MISS,Core0 (Socket 0)-L3HIT,Core0 (Socket 0)-L2HIT,Core0 (Socket 0)-L3MPI,Core0 (Socket 0)-L2MPI,Core0 (Socket 0)-L3OCC,Core0 (Socket 0)-C0res%,Core0 (Socket 0)-C1res%,Core0 (Socket 0)-C3res%,Core0 (Socket 0)-C6res%,Core0 (Socket 0)-C7res%,Core0 (Socket 0)-TEMP,Core0 (Socket 0)-INST,Core0 (Socket 0)-ACYC,Core0 (Socket 0)-TIME(ticks),Core0 (Socket 0)-PhysIPC,Core0 (Socket 0)-PhysIPC%,Core0 (Socket 0)-INSTnom,Core0 (Socket 0)-INSTnom%,-
2025,0,0,1,0,1,0,15,0,0,0,0,0,2,99,6292,3706,2623,3,84,0,3,3,5,0,90,0,63,36,0,0,0,68,7,1513638,2,0,1,0,1,0,13,0,0,0,0,12640,0,2,99,47,6166,3481,2623,3,88,0,5,0,0,0,0,0,2,0,0,0,0,19840,0,0,71,49,125,225,2623,1,27,0,0,5,6,0,87,0,100,0,0,0,0,0,4,0,94,0,27,72,0,0,0,45,23,4,2,816730,3776427,3,1,2,1,1,1,0,11,0,0,0,0,920,99,0,0,0,0,46,6112,3313,2623,3,92,4,116,
2025,0,0,1,0,1,0,16,0,0,0,0,0,2,99,6206,3670,2597,3,84,0,2,3,4,0,92,0,56,43,0,0,0,63,7,0,2,0,1,0,1,0,12,0,0,0,0,14160,0,2,99,47,6031,3420,2597,3,88,0,5,0,0,0,0,0,3,0,0,0,0,21520,0,0,75,49,174,249,2597,1,34,0,0,5,6,0,87,0,100,0,0,0,0,1,2,0,96,0,13,86,0,0,0,44,18,4,2,0,0,3,1,2,1,1,1,0,11,1,0,0,0,1480,99,0,0,0,0,47,5989,3278,2597,3,91,4,115,
2025,0,0,1,0,1,0,14,0,0,0,0,0,2,99,6121,3611,2598,3,84,0,2,3,3,0,92,0,54,45,0,0,0,63,7,0,2,0,1,0,1,0,12,0,0,0,0,15200,0,2,99,46,6024,3420,2598,3,88,0,5,0,0,0,0,0,2,0,0,0,0,21320,0,0,67,50,97,190,2598,1,25,0,0,5,6,0,88,0,100,0,0,0,0,0,1,0,97,0,9,90,0,0,0,44,18,4,2,0,0,3,1,2,1,1,1,0,11,0,0,0,0,2480,99,0,0,0,0,46,5987,3284,2598,3,91,4,115,
2025,0,0,1,0,1,0,14,0,0,0,0,0,2,99,6081,3577,2598,3,85,0,2,3,4,0,92,0,53,46,0,0,0,63,6,483978,2,0,1,0,1,0,12,0,0,0,0,15160,0,2,99,46,6038,3427,2598,3,88,0,5,0,0,0,0,0,1,0,0,0,0,21560,0,0,52,49,42,149,2598,0,14,0,0,5,6,0,87,0,100,0,0,0,0,0,1,0,97,0,6,93,0,0,0,45,18,4,2,474277,0,3,1,2,1,1,1,0,11,0,0,0,0,2400,99,0,0,0,0,47,5993,3280,2598,3,91,4,115,
2025,0,0,1,0,1,0,13,0,0,0,0,0,2,99,6084,3558,2595,3,85,0,2,3,3,0,93,0,53,46,0,0,0,63,6,0,2,0,1,0,1,0,12,0,0,0,0,15360,0,2,99,47,6038,3412,2595,3,88,0,5,0,0,0,0,0,1,0,0,0,0,22080,0,0,71,48,45,145,2595,0,15,0,0,5,6,0,88,0,100,0,0,0,0,0,1,0,98,0,6,93,0,0,0,44,18,4,2,0,0,3,1,2,1,1,1,0,11,1,0,0,0,2560,99,0,0,0,0,47,6003,3283,2595,3,91,4,115,
2025,0,0,1,0,1,0,15,0,0,0,0,0,2,99,6110,3598,2598,3,84,0,2,3,5,0,90,0,65,34,0,0,0,63,7,0,2,0,1,0,1,0,13,0,0,0,0,16280,0,2,99,46,6069,3443,2598,3,88,0,5,0,0,0,0,0,1,0,0,0,0,22640,0,0,50,48,41,154,2598,0,13,0,0,5,7,0,86,0,100,0,0,0,0,0,4,0,95,0,30,69,0,0,0,45,18,4,2,0,0,3,1,2,1,1,1,0,11,1,0,0,0,2720,99,0,0,0,0,45,5992,3276,2598,3,91,4,115,
2025,0,0,1,0,1,0,15,0,0,0,0,0,2,99,5841,3563,2597,3,81,0,2,3,3,0,93,0,53,46,0,0,0,63,7,0,2,0,1,0,1,0,13,0,0,0,0,16280,0,2,99,45,5791,3409,2597,3,84,0,5,0,0,0,0,0,1,0,0,0,0,22760,0,0,63,49,50,154,2597,0,16,0,0,5,6,0,88,0,100,0,0,0,0,0,1,0,98,0,6,93,0,0,0,45,18,4,2,0,0,3,1,2,1,1,1,0,12,1,0,0,0,3160,99,0,0,0,0,47,5759,3286,2597,3,87,4,110,
2025,0,0,1,0,1,0,19,0,0,0,0,0,3,99,4706,3508,2597,2,67,0,2,2,3,0,93,0,52,47,0,0,0,63,7,0,2,0,1,0,1,0,19,1,0,0,0,16320,0,3,99,46,4686,3409,2597,2,68,0,4,0,0,0,0,0,0,0,0,0,0,22520,0,0,38,48,19,98,2597,0,9,0,0,5,5,0,88,0,100,0,0,0,0,0,0,0,98,0,4,95,0,0,0,45,18,5,2,0,0,3,1,1,1,1,1,0,18,1,0,0,0,3600,99,0,0,0,0,46,4625,3290,2597,2,70,3,89,
2025,0,0,1,0,1,0,21,0,0,0,0,0,3,99,4687,3550,2595,2,66,0,2,3,3,0,93,0,52,47,0,0,0,63,7,0,2,0,1,0,1,0,19,1,0,0,0,16120,0,3,99,46,4648,3410,2595,2,68,0,4,0,0,0,0,0,1,0,0,0,0,22960,0,0,45,48,38,140,2595,0,13,0,0,5,6,0,88,0,100,0,0,0,0,0,1,0,98,0,5,94,0,0,0,45,18,5,2,0,0,3,1,1,1,1,1,0,18,1,0,0,0,3760,99,0,0,0,0,46,4614,3284,2595,2,70,3,88,
2025,0,0,1,0,1,0,27,0,0,0,0,0,3,99,4843,3829,2598,2,63,0,2,3,5,0,90,0,57,42,0,0,0,64,7,0,2,0,1,0,1,0,23,0,0,0,0,17120,0,3,99,46,4719,3548,2598,2,66,0,4,0,0,0,0,0,4,0,0,0,0,23720,0,0,56,49,123,280,2598,0,22,0,0,6,8,0,85,0,100,0,0,0,0,1,3,0,95,0,15,84,0,0,0,45,18,5,2,0,0,3,1,1,1,1,1,0,18,1,0,0,0,2800,99,0,0,0,0,46,4583,3263,2598,2,70,3,88,
