,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2025-09-10,00:30:46.517,   80.38, 1047.92,   77.15, 1046.10,,,,,  157.53, 2094.02,     53024, 2251.55,    7.65,    5.61,    8.50,    6.51,,,,,   16.15,   12.11,     14733,   28.27,    173.68,   2106.13,   2279.81
2025-09-10,00:30:47.509,   75.78, 1043.65,   72.83, 1041.22,,,,,  148.61, 2084.87,     52648, 2233.48,    4.83,    2.75,    5.19,    3.21,,,,,   10.02,    5.96,      7075,   15.98,    158.63,   2090.83,   2249.46
2025-09-10,00:30:48.509,   77.58, 1048.48,   73.21, 1044.86,,,,,  150.79, 2093.34,     52633, 2244.13,    2.41,    1.10,    2.65,    1.40,,,,,    5.07,    2.50,      5112,    7.57,    155.86,   2095.85,   2251.70
2025-09-10,00:30:49.509,   76.45, 1048.24,   72.36, 1043.96,,,,,  148.81, 2092.21,     52623, 2241.01,    2.85,    1.13,    2.99,    1.35,,,,,    5.84,    2.48,      3375,    8.32,    154.65,   2094.68,   2249.34
2025-09-10,00:30:50.510,   73.91, 1043.72,   70.53, 1039.73,,,,,  144.44, 2083.45,     52620, 2227.89,    2.80,    1.35,    2.90,    1.52,,,,,    5.70,    2.87,      3269,    8.56,    150.14,   2086.32,   2236.46
2025-09-10,00:30:51.510,   75.06, 1045.19,   73.81, 1041.11,,,,,  148.87, 2086.30,     52620, 2235.17,    3.30,    1.40,    4.25,    2.41,,,,,    7.55,    3.81,     16006,   11.36,    156.42,   2090.11,   2246.53
2025-09-10,00:30:52.510,   81.98, 1174.68,   78.61, 1170.44,,,,,  160.60, 2345.12,     52635, 2505.72,    2.83,    0.88,    2.98,    1.11,,,,,    5.81,    1.99,      3623,    7.80,    166.40,   2347.11,   2513.52
2025-09-10,00:30:53.510,  121.27, 1741.51,  115.47, 1739.37,,,,,  236.75, 3480.88,     52716, 3717.63,    1.66,    0.51,    1.78,    0.66,,,,,    3.44,    1.17,      2742,    4.61,    240.19,   3482.05,   3722.23
2025-09-10,00:30:54.511,  118.81, 1737.58,  115.45, 1732.11,,,,,  234.27, 3469.69,     52739, 3703.95,    1.44,    0.35,    1.58,    0.52,,,,,    3.03,    0.88,      2874,    3.90,    237.29,   3470.56,   3707.85
2025-09-10,00:30:55.511,  126.46, 1737.65,  122.19, 1736.22,,,,,  248.65, 3473.87,     52760, 3722.52,    8.84,    3.34,    9.17,    3.83,,,,,   18.02,    7.17,      8156,   25.19,    266.66,   3481.04,   3747.70
2025-09-10,00:30:56.511,  119.26, 1737.07,  116.94, 1734.35,,,,,  236.20, 3471.42,     52711, 3707.62,    2.37,    0.61,    2.44,    0.78,,,,,    4.81,    1.39,      3097,    6.21,    241.01,   3472.81,   3713.82
