Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-10,00:30:46.466,0,36049258,2092846,562212,9280572,33493614,2100,69692(Total)
2025-09-10,00:30:46.466,0,39094384,2074296,6818,34664,30129064,0,69790(Miss)
2025-09-10,00:30:46.466,0,0,18550,555394,9245908,3364550,2100,0(Hit)
2025-09-10,00:30:46.466,1,0,0,1841098,202006,0,0,1330(Total)
2025-09-10,00:30:46.466,1,32492264,0,1946,15596,0,0,28(Miss)
2025-09-10,00:30:46.466,1,0,0,1839152,186410,0,0,1302(Hit)
Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-10,00:30:47.480,0,36162280,2094932,440944,9239636,33518730,2100,70070(Total)
2025-09-10,00:30:47.480,0,176078,2075276,224,25942,30291212,84,69678(Miss)
2025-09-10,00:30:47.480,0,35986202,19656,440720,9213694,3227518,2016,392(Hit)
2025-09-10,00:30:47.480,1,0,0,189756,203462,0,0,112(Total)
2025-09-10,00:30:47.480,1,0,0,1834,2002,0,0,0(Miss)
