skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_Date-miss,skt-0_Time-miss,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_Date-hit,skt-0_Time-hit,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_Date-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_Date-miss,skt-1_Time-miss,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_Date-hit,skt-1_Time-hit,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
36049258,2092846,562212,9280572,33493614,2100,69692,20250910,3046466,39094384,2074296,6818,34664,30129064,0,69790,20250910,3046466,0,18550,555394,9245908,3364550,2100,0,20250910,0,0,1841098,202006,0,0,1330,20250910.0,3046466.0,32492264.0,0.0,1946.0,15596.0,0.0,0.0,28.0,20250910.0,3046466.0,0.0,0.0,1839152.0,186410.0,0.0,0.0,1302.0
36162280,2094932,440944,9239636,33518730,2100,70070,20250910,3047480,176078,2075276,224,25942,30291212,84,69678,20250910,3047480,35986202,19656,440720,9213694,3227518,2016,392,20250910,0,0,189756,203462,0,0,112,20250910.0,3047480.0,0.0,0.0,1834.0,2002.0,0.0,0.0,0.0,20250910.0,3047480.0,0.0,0.0,187922.0,201460.0,0.0,0.0,112.0
36125026,2093224,611478,9231488,33528166,0,70322,20250910,3048494,24626,2066736,1568,56448,30442762,2100,69524,20250910,3048494,36100400,26488,609910,9175040,3085404,0,798,20250910,0,0,233576,204820,0,0,126,20250910.0,3048494.0,0.0,0.0,30548.0,1820.0,0.0,0.0,0.0,20250910.0,3048494.0,0.0,0.0,203028.0,203000.0,0.0,0.0,126.0
36135274,2095226,3386796,9451876,33502476,0,70182,20250910,3049507,20566,2063866,28,23702,30364544,1876,69692,20250910,3049507,36114708,31360,3386768,9428174,3137932,0,490,20250910,0,0,4443586,299012,0,0,112,20250910.0,3049507.0,0.0,0.0,0.0,2282.0,0.0,0.0,0.0,20250910.0,3049507.0,0.0,0.0,4443586.0,296730.0,0.0,0.0,112.0
36084930,2091236,292250,9248106,33509448,0,70308,20250910,3050520,17948,2059064,784,14014,30281846,2100,69552,20250910,3050520,36066982,32172,291466,9234092,3227602,0,756,20250910,0,0,171080,741622,0,0,224,20250910.0,3050520.0,0.0,0.0,0.0,2268.0,0.0,0.0,0.0,20250910.0,3050520.0,0.0,0.0,171080.0,739354.0,0.0,0.0,224.0
36099448,2093560,1506624,10785740,33516756,0,70224,20250910,3051534,13664,2062172,105028,112938,30299262,1540,69790,20250910,3051534,36085784,31388,1401596,10672802,3217494,0,434,20250910,0,0,313880,1638812,0,0,140,20250910.0,3051534.0,0.0,0.0,35210.0,103152.0,0.0,0.0,0.0,20250910.0,3051534.0,0.0,0.0,278670.0,1535660.0,0.0,0.0,140.0
36117312,2091880,196014,9070936,33518058,2240,114898,20250910,3052547,10472,2056026,3878,20832,30315068,2044,114030,20250910,3052547,36106840,35854,192136,9050104,3202990,196,868,20250910,0,0,104608,496314,0,0,168,20250910.0,3052547.0,0.0,0.0,47488.0,13524.0,0.0,0.0,0.0,20250910.0,3052547.0,0.0,0.0,57120.0,482790.0,0.0,0.0,168.0
60543616,3509996,127722,15120910,56225638,2072,114702,20250910,3053561,33474,3437420,1918,27524,50574552,0,114142,20250910,3053561,60510142,72576,125804,15093386,5651086,2072,560,20250910,0,0,147924,272510,0,0,112,20250910.0,3053561.0,0.0,0.0,2072.0,13440.0,0.0,0.0,84.0,20250910.0,3053561.0,0.0,0.0,145852.0,259070.0,0.0,0.0,28.0
60486846,3512698,100996,14810068,56117138,1904,114912,20250910,3054574,24584,3432702,266,30114,50437016,0,114044,20250910,3054574,60462262,79996,100730,14779954,5680122,1904,868,20250910,0,0,60886,204050,0,0,182,20250910.0,3054574.0,0.0,0.0,1862.0,27174.0,0.0,0.0,0.0,20250910.0,3054574.0,0.0,0.0,59024.0,176876.0,0.0,0.0,182.0
60604950,3513720,507514,15016988,56036554,2016,114604,20250910,3055588,108290,3418086,211246,47292,50509172,0,114310,20250910,3055588,60496660,95634,296268,14969696,5527382,2016,294,20250910,0,0,1417178,421932,0,0,112,20250910.0,3055588.0,0.0,0.0,195804.0,43036.0,0.0,0.0,0.0,20250910.0,3055588.0,0.0,0.0,1221374.0,378896.0,0.0,0.0,112.0
60559926,3513398,173726,15052240,56122276,2100,114674,20250910,3056601,95746,3424778,154,27734,50458408,0,113988,20250910,3056601,60464180,88620,173572,15024506,5663868,2100,686,20250910,0,0,122122,221690,0,0,126,20250910.0,3056601.0,0.0,0.0,1890.0,77616.0,0.0,0.0,0.0,20250910.0,3056601.0,0.0,0.0,120232.0,144074.0,0.0,0.0,126.0
60552506,3512530,222656,15052786,56113582,0,114604,20250910,3057615,97034,3418758,224,15988,50367100,2128,113974,20250910,3057615,60455472,93772,222432,15036798,5746482,0,630,20250910,0,0,146146,890806,0,0,140,20250910.0,3057615.0,0.0,0.0,1904.0,2758.0,0.0,0.0,42.0,20250910.0,3057615.0,0.0,0.0,144242.0,888048.0,0.0,0.0,98.0
