Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1757457043,Device: id=0,RX,0.000000,0.000000,0.000000,0,0
1757457044,Device: id=0,RX,0.000000,0.000000,0.000000,0,0
1757457045,Device: id=0,RX,2048676.000000,17110.000000,17110.541952,0,0
1757457046,Device: id=0,RX,2097810.000000,17520.000000,17520.909120,0,0
1757457047,Device: id=0,RX,2098442.000000,17526.000000,17526.187584,0,0
1757457048,Device: id=0,RX,2097765.000000,17520.000000,17520.533280,0,0
1757457049,Device: id=0,RX,2098382.000000,17525.000000,17525.686464,0,0
1757457050,Device: id=0,RX,2097610.000000,17519.000000,17519.238720,0,0
1757457051,Device: id=0,RX,2098115.000000,17523.000000,17523.456480,0,0
1757457052,Device: id=0,RX,2097898.000000,17521.000000,17521.644096,0,0
1757457053,Device: id=0,RX,3444582.000000,28769.000000,28769.148864,0,0
1757457054,Device: id=0,RX,3519280.000000,29393.000000,29393.026560,0,0
