Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1757457043,Device: id=0,TX,1921600.000000,16049.000000,16049.203200,0,0
1757457044,Device: id=0,TX,2098368.000000,17525.000000,17525.569536,0,0
1757457045,Device: id=0,TX,2097600.000000,17519.000000,17519.155200,0,0
1757457046,Device: id=0,TX,2097792.000000,17520.000000,17520.758784,0,0
1757457047,Device: id=0,TX,2098432.000000,17526.000000,17526.104064,0,0
1757457048,Device: id=0,TX,2097856.000000,17521.000000,17521.293312,0,0
1757457049,Device: id=0,TX,2098368.000000,17525.000000,17525.569536,0,0
1757457050,Device: id=0,TX,2097600.000000,17519.000000,17519.155200,0,0
1757457051,Device: id=0,TX,2098112.000000,17523.000000,17523.431424,0,0
1757457052,Device: id=0,TX,2097856.000000,17521.000000,17521.293312,0,0
1757457053,Device: id=0,TX,3444608.000000,28769.000000,28769.366016,0,0
1757457054,Device: id=0,TX,3519296.000000,29393.000000,29393.160192,0,0
