Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708985147,Device: id=1,RX,0.14727147248368,406.33276787172,429.89620346911,171008,58977948
1708985148,Device: id=1,RX,0.17214590724111,482.56045608209,510.10380124067,348520,121178288
1708985149,Device: id=1,RX,0.21053948773297,596.71700121809,630.40331925537,560745,196365054
1708985150,Device: id=1,RX,0.26712980795405,754.54129005002,797.28205932267,836514,293733024
1708985151,Device: id=1,RX,1.4445588706067,4084.7240189113,4315.8534382084,2281099,804332762
1708985152,Device: id=1,RX,1.7473835254541,4935.0592739652,5214.6406380379,4028490,1421217810
1708985153,Device: id=1,RX,1.7522399624588,4950.6731351201,5231.0315291135,5780753,2040060088
1708985154,Device: id=1,RX,1.7487428130258,4947.2124897753,5227.0113398595,7529521,2658470556
1708985155,Device: id=1,RX,1.7506803252356,4951.7559658614,5231.8648178991,9280239,3277453372
1708985156,Device: id=1,RX,1.7500043204381,4947.9000994151,5227.9007906852,11030283,3895954908
1708985157,Device: id=1,RX,1.6914142608121,4772.058847567,5042.6851292969,12721727,4492472752
1708985158,Device: id=1,RX,1.7019424102316,4808.2570902256,5080.5678758627,14423680,5093508628
