Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708985147,Device: id=0,TX,0.22228409127021,630.05152419414,665.61697879737,223340,79131776
1708985147,Device: id=0,TX,0.15750278716623,444.12634801098,469.32679395758,385882,136423766
1708985148,Device: id=0,TX,0.21473190660714,607.92167142156,642.2787764787,604048,213629246
1708985149,Device: id=0,TX,0.25213129626929,712.98272801564,753.32373541872,857187,303108288
1708985150,Device: id=0,TX,1.2063100638321,3412.2423827089,3605.251992922,2063524,729648110
1708985151,Device: id=0,TX,1.7486794144452,4938.9545082984,5218.7432146097,3812219,1347022926
1708985152,Device: id=0,TX,1.7541627852215,4954.5270394277,5235.1930850631,5566441,1966359712
1708985153,Device: id=0,TX,1.751373313864,4955.046406601,5235.2661368193,7317854,2585754548
1708985154,Device: id=0,TX,1.7520598234891,4956.2854901761,5236.6150619344,9069941,3205299844
1708985155,Device: id=0,TX,1.7514620410465,4950.4774765685,5230.711403136,10821406,3824110574
1708985156,Device: id=0,TX,1.7528999219769,4954.9968244784,5235.4608119947,12574310,4443486618
1708985157,Device: id=0,TX,1.7418602423562,4937.2877378644,5215.9853766414,14316217,5060664152
