System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,09:18:30.675,0.15,2.37,0.06,1.12,0.09,15.39,0.99,0.40,0.0000,0.0020, 20520,0.74,0.65,99,48,7790.60,3289.33,2635.75,4.74,118.42,0.30,7.39,0.03,1.53,0.02,1.21,0.03,2.14,0.98,0.39,0.0000,0.0013, 24440,0.47,0.02,96,47,1620.47,1058.45,2635.75,3.06,76.55,0.06,1.54,5.60,76.62,0.01,17.77,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.60,0.12,69.63,0.00,100.00,0.00,0.00,0.00,0.00,77.85,52.82,4.64 ,4.44 ,652249.96 ,656786.08 ,3.00,3.00,0.36,2.35,0.15,1.12,0.00,2.88,1.00,0.42,0.0000,0.0031,   440,13.61,86.39,0.00,0.00,0.00,49,939.13,400.07,2635.75,4.69,117.37,0.71,17.82,
2024-02-27,09:18:31.675,0.15,2.37,0.06,1.12,0.07,15.69,1.00,0.39,0.0000,0.0020, 20960,0.72,0.63,99,47,7875.09,3321.16,2596.11,4.74,118.56,0.30,7.58,0.03,1.57,0.02,1.22,0.01,2.10,0.99,0.39,0.0000,0.0013, 24200,0.44,0.01,96,47,1664.65,1060.14,2596.11,3.14,78.51,0.06,1.60,5.73,76.92,0.04,17.31,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.26,0.18,69.89,0.00,100.00,0.00,0.00,0.00,0.00,76.88,51.98,4.58 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.36,2.35,0.16,1.12,0.00,2.97,1.00,0.41,0.0000,0.0031,   440,13.91,86.09,0.00,0.00,0.00,48,944.85,402.89,2596.11,4.69,117.26,0.73,18.20,
2024-02-27,09:18:32.675,0.15,2.33,0.06,1.12,0.09,15.24,0.99,0.40,0.0000,0.0020, 20920,0.72,0.63,99,47,7674.69,3294.24,2597.82,4.66,116.49,0.30,7.39,0.03,1.65,0.02,1.22,0.01,2.10,1.00,0.39,0.0000,0.0013, 24320,0.43,0.01,95,46,1599.09,970.09,2597.82,3.30,82.42,0.06,1.54,5.68,77.31,0.01,16.99,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.48,0.14,69.85,0.00,100.00,0.00,0.00,0.00,0.00,77.09,52.00,4.58 ,4.38 ,0.13 ,0.33 ,3.00,3.00,0.35,2.34,0.15,1.12,0.00,2.86,1.00,0.41,0.0000,0.0031,   360,13.53,86.47,0.00,0.00,0.00,48,917.26,392.08,2597.82,4.68,116.97,0.71,17.65,
2024-02-27,09:18:33.675,0.15,2.40,0.06,1.12,0.08,16.14,1.00,0.39,0.0000,0.0020, 21040,0.69,0.61,99,48,7935.57,3313.03,2597.84,4.79,119.76,0.31,7.64,0.03,1.56,0.02,1.22,0.01,2.15,1.00,0.39,0.0000,0.0013, 24800,0.42,0.01,96,46,1636.04,1050.44,2597.84,3.11,77.87,0.06,1.57,5.72,76.98,0.05,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.37,0.20,69.76,0.00,100.00,0.00,0.00,0.00,0.00,77.45,52.01,4.57 ,4.38 ,0.30 ,0.33 ,3.00,3.00,0.37,2.37,0.15,1.12,0.00,3.06,1.00,0.40,0.0000,0.0032,   240,13.87,86.13,0.00,0.00,0.00,47,954.23,402.04,2597.84,4.75,118.67,0.73,18.37,
2024-02-27,09:18:34.676,0.15,2.44,0.06,1.12,0.07,16.24,1.00,0.38,0.0000,0.0020, 21400,0.69,0.61,99,46,7975.37,3264.42,2597.81,4.89,122.16,0.31,7.68,0.03,1.62,0.02,1.22,0.01,2.08,1.00,0.40,0.0000,0.0013, 25000,0.42,0.01,95,46,1651.16,1019.98,2597.81,3.24,80.94,0.06,1.59,5.63,77.30,0.01,17.06,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.53,0.18,69.68,0.00,100.00,0.00,0.00,0.00,0.00,77.49,52.05,4.56 ,4.37 ,0.17 ,0.33 ,3.00,3.00,0.37,2.38,0.15,1.12,0.00,3.09,1.00,0.40,0.0000,0.0032,   280,13.79,86.21,0.00,0.00,0.00,48,952.98,399.59,2597.81,4.77,119.25,0.73,18.34,
2024-02-27,09:18:35.675,0.15,2.38,0.06,1.12,0.07,16.19,1.00,0.38,0.0000,0.0020, 21640,0.68,0.60,99,46,7927.40,3329.18,2595.21,4.76,119.06,0.31,7.64,0.03,1.57,0.02,1.22,0.01,2.07,1.00,0.39,0.0000,0.0013, 24200,0.42,0.01,96,46,1649.12,1051.41,2595.21,3.14,78.42,0.06,1.59,5.75,77.20,0.05,17.00,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.67,0.19,69.48,0.00,100.00,0.00,0.00,0.00,0.00,77.46,52.03,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.37,2.37,0.16,1.12,0.00,3.08,1.00,0.40,0.0000,0.0032,   320,13.92,86.08,0.00,0.00,0.00,48,953.73,402.95,2595.21,4.73,118.34,0.73,18.37,
2024-02-27,09:18:36.675,0.15,2.44,0.06,1.12,0.09,16.01,0.99,0.39,0.0000,0.0020, 20920,0.68,0.60,99,46,7881.05,3234.33,2598.00,4.87,121.83,0.30,7.58,0.03,1.65,0.02,1.23,0.02,2.14,0.99,0.39,0.0000,0.0013, 24800,0.43,0.01,96,46,1592.56,967.53,2598.00,3.29,82.30,0.06,1.53,5.58,77.03,0.02,17.38,0.00,100.00,0.00,0.00,0.00,0.00,1.52,28.63,0.14,69.71,0.00,100.00,0.00,0.00,0.00,0.00,77.57,52.11,4.57 ,4.38 ,433624.42 ,433955.24 ,3.00,3.00,0.36,2.37,0.15,1.12,0.00,3.03,1.00,0.40,0.0000,0.0033,   360,13.54,86.46,0.00,0.00,0.00,47,930.62,392.40,2598.00,4.74,118.58,0.72,17.91,
2024-02-27,09:18:37.676,0.15,2.39,0.06,1.12,0.07,16.39,1.00,0.38,0.0000,0.0021, 21760,0.67,0.60,99,47,7968.01,3328.59,2598.05,4.79,119.69,0.31,7.67,0.03,1.56,0.02,1.22,0.01,2.18,0.99,0.39,0.0000,0.0013, 24120,0.43,0.01,95,45,1633.01,1050.13,2598.05,3.11,77.75,0.06,1.57,5.74,76.86,0.01,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.20,0.13,70.00,0.00,100.00,0.00,0.00,0.00,0.00,77.66,52.14,4.54 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.37,2.38,0.16,1.12,0.00,3.12,1.00,0.40,0.0000,0.0033,   280,13.92,86.08,0.00,0.00,0.00,47,959.64,403.37,2598.05,4.76,118.95,0.74,18.47,
2024-02-27,09:18:38.680,0.15,2.35,0.07,1.12,0.10,16.24,0.99,0.39,0.0000,0.0020, 20480,0.68,0.61,98,46,8010.77,3406.16,2597.66,4.70,117.59,0.31,7.70,0.03,1.49,0.02,1.20,0.05,2.33,0.98,0.43,0.0000,0.0014, 25160,0.46,0.03,93,46,1678.12,1123.54,2597.66,2.99,74.68,0.06,1.61,5.87,77.19,0.07,16.86,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.87,0.19,67.14,0.00,100.00,0.00,0.00,0.00,0.00,77.87,52.82,4.56 ,4.40 ,0.07 ,0.10 ,3.00,3.00,0.37,2.37,0.16,1.12,0.00,3.05,1.00,0.40,0.0000,0.0032,   360,13.96,86.04,0.00,0.00,0.00,46,958.10,404.51,2597.66,4.74,118.43,0.74,18.44,
