System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-27,11:25:34.117,1.43,3.39,0.42,1.12,0.15,11.66,0.99,0.84,0.0000,0.0002,  9240,0.00,0.00,97,47,74597.89,21978.62,2601.62,6.79,169.71,2.87,71.73,0.15,1.24,0.12,1.23,0.17,9.04,0.98,0.90,0.0000,0.0011, 16200,0.00,0.00,77,45,7925.97,6371.09,2601.62,2.49,62.20,0.30,7.62,37.90,46.56,0.00,15.54,0.00,100.00,0.00,0.00,0.00,0.00,9.98,16.06,0.03,73.93,0.00,100.00,0.00,0.00,0.00,0.00,80.83,51.15,3.92 ,4.28 ,428589082922.34 ,220777880527.73 ,3.00,3.00,4.03,3.86,1.04,1.12,0.01,1.44,1.00,0.13,0.0000,0.0001,   680,93.63,6.37,0.00,0.00,0.00,49,10485.85,2716.80,2601.62,7.72,192.98,8.06,201.54,
2024-02-27,11:25:35.117,0.27,3.16,0.09,1.12,0.09,8.32,0.99,0.47,0.0000,0.0006, 12280,0.20,0.18,99,47,14227.03,4501.78,2597.03,6.32,158.02,0.55,13.69,0.05,1.40,0.03,1.19,0.07,2.71,0.97,0.90,0.0000,0.0011, 22240,0.13,0.01,96,45,2553.56,1818.00,2597.03,2.81,70.23,0.10,2.46,7.77,67.97,0.02,24.23,0.00,100.00,0.00,0.00,0.00,0.00,2.95,34.18,0.23,62.65,0.00,100.00,0.00,0.00,0.00,0.00,75.39,55.78,4.19 ,4.34 ,499464.98 ,502006.74 ,3.00,3.00,0.83,3.63,0.23,1.12,0.00,1.01,1.00,0.14,0.0000,0.0005,  1360,20.61,79.39,0.00,0.00,0.00,50,2167.08,597.14,2597.03,7.26,181.46,1.67,41.72,
2024-02-27,11:25:36.118,0.15,2.29,0.06,1.12,0.09,15.23,0.99,0.40,0.0000,0.0020, 13480,0.73,0.64,99,47,7706.04,3371.03,2598.17,4.57,114.30,0.30,7.41,0.03,1.55,0.02,1.22,0.03,2.19,0.99,0.38,0.0000,0.0014, 22760,0.46,0.02,96,44,1604.43,1031.98,2598.17,3.11,77.74,0.06,1.54,5.82,76.94,0.01,17.24,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.52,0.15,69.71,0.00,100.00,0.00,0.00,0.00,0.00,76.93,52.34,4.56 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.46,2.97,0.16,1.12,0.00,1.92,1.00,0.14,0.0000,0.0016,  1680,13.97,86.03,0.00,0.00,0.00,49,1201.41,404.90,2598.17,5.93,148.36,0.92,23.12,
2024-02-27,11:25:37.118,0.15,2.40,0.06,1.12,0.08,15.75,0.99,0.39,0.0000,0.0020, 14840,0.72,0.63,99,47,7848.12,3271.62,2597.74,4.80,119.94,0.30,7.55,0.03,1.62,0.02,1.22,0.02,2.15,0.99,0.40,0.0000,0.0013, 23520,0.44,0.01,96,45,1664.81,1029.60,2597.74,3.23,80.85,0.06,1.60,5.65,77.07,0.01,17.28,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.63,0.15,69.60,0.00,100.00,0.00,0.00,0.00,0.00,77.06,52.40,4.56 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.47,3.03,0.16,1.12,0.00,1.98,1.00,0.14,0.0000,0.0016,  1560,13.97,86.03,0.00,0.00,0.00,49,1224.72,404.74,2597.74,6.05,151.30,0.94,23.57,
2024-02-27,11:25:38.117,0.15,2.30,0.06,1.12,0.08,15.21,0.99,0.40,0.0000,0.0020, 15440,0.71,0.62,99,46,7535.93,3279.68,2594.99,4.60,114.89,0.29,7.26,0.03,1.52,0.02,1.22,0.01,2.05,1.00,0.39,0.0000,0.0013, 23880,0.43,0.01,95,44,1598.08,1050.06,2594.99,3.04,76.09,0.06,1.54,5.67,77.07,0.01,17.25,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.26,0.16,69.91,0.00,100.00,0.00,0.00,0.00,0.00,77.08,52.30,4.57 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.45,2.97,0.15,1.12,0.00,1.91,1.00,0.14,0.0000,0.0016,  2040,13.61,86.39,0.00,0.00,0.00,49,1169.45,393.83,2594.99,5.94,148.47,0.90,22.53,
2024-02-27,11:25:39.117,0.15,2.31,0.07,1.12,0.10,15.61,0.99,0.39,0.0000,0.0020, 16440,0.71,0.62,99,46,7854.99,3399.87,2597.48,4.62,115.52,0.30,7.56,0.03,1.62,0.02,1.22,0.01,2.20,0.99,0.39,0.0000,0.0013, 23760,0.43,0.01,95,44,1634.62,1008.08,2597.48,3.24,81.08,0.06,1.57,5.87,77.45,0.01,16.66,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.61,0.13,69.67,0.00,100.00,0.00,0.00,0.00,0.00,77.25,52.43,4.55 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.48,3.06,0.16,1.12,0.00,1.96,1.00,0.14,0.0000,0.0016,  2240,14.00,86.00,0.00,0.00,0.00,49,1241.49,405.45,2597.48,6.12,153.10,0.96,23.90,
2024-02-27,11:25:40.117,0.15,2.33,0.07,1.12,0.10,16.30,0.99,0.40,0.0000,0.0020, 17720,0.66,0.61,97,46,7976.13,3426.01,2596.66,4.66,116.41,0.31,7.68,0.03,1.41,0.02,1.20,0.08,2.58,0.97,0.44,0.0000,0.0016, 23400,0.50,0.04,94,43,1659.89,1175.95,2596.66,2.82,70.58,0.06,1.60,5.91,77.76,0.03,16.29,0.00,100.00,0.00,0.00,0.00,0.00,1.89,31.59,0.34,66.17,0.00,100.00,0.00,0.00,0.00,0.00,78.09,53.23,4.54 ,4.44 ,0.33 ,0.33 ,3.00,3.00,0.47,3.03,0.16,1.12,0.00,2.02,1.00,0.14,0.0000,0.0016,  2280,14.02,85.98,0.00,0.00,0.00,48,1231.68,406.14,2596.66,6.07,151.63,0.95,23.72,
2024-02-27,11:25:41.117,0.16,2.41,0.07,1.12,0.07,17.30,1.00,0.39,0.0000,0.0021, 17920,0.62,0.57,99,46,8182.32,3391.09,2597.04,4.83,120.64,0.32,7.88,0.03,1.59,0.02,1.22,0.03,2.17,0.99,0.39,0.0000,0.0013, 24040,0.45,0.01,96,44,1632.70,1028.75,2597.04,3.17,79.35,0.06,1.57,5.85,77.47,0.02,16.65,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.89,0.16,69.32,0.00,100.00,0.00,0.00,0.00,0.00,78.45,52.49,4.51 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.48,3.04,0.16,1.12,0.00,2.14,1.00,0.15,0.0000,0.0017,  1920,14.05,85.95,0.00,0.00,0.00,48,1237.45,406.91,2597.04,6.08,152.05,0.95,23.82,
2024-02-27,11:25:42.117,0.16,2.50,0.06,1.12,0.06,17.01,1.00,0.39,0.0000,0.0021, 17560,0.61,0.57,99,46,8064.09,3229.24,2597.12,4.99,124.86,0.31,7.76,0.03,1.60,0.02,1.22,0.01,2.09,0.99,0.39,0.0000,0.0013, 24240,0.43,0.01,96,44,1613.01,1007.60,2597.12,3.20,80.04,0.06,1.55,5.57,76.93,0.02,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.43,0.15,69.83,0.00,100.00,0.00,0.00,0.00,0.00,78.21,52.48,4.52 ,4.40 ,0.00 ,488920.48 ,3.00,3.00,0.47,3.09,0.15,1.12,0.00,2.11,1.00,0.15,0.0000,0.0017,  2040,13.68,86.32,0.00,0.00,0.00,47,1223.09,396.18,2597.12,6.17,154.36,0.94,23.55,
2024-02-27,11:25:43.117,0.16,2.40,0.07,1.12,0.08,17.27,1.00,0.39,0.0000,0.0021, 18600,0.61,0.57,99,46,8122.35,3378.90,2597.08,4.81,120.19,0.31,7.82,0.03,1.56,0.02,1.22,0.02,2.15,0.99,0.38,0.0000,0.0013, 24080,0.43,0.01,95,43,1612.99,1035.24,2597.08,3.12,77.90,0.06,1.55,5.83,76.71,0.02,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.46,0.13,69.77,0.00,100.00,0.00,0.00,0.00,0.00,78.27,52.51,4.50 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.47,3.00,0.16,1.12,0.00,2.14,1.00,0.15,0.0000,0.0018,  2280,14.05,85.95,0.00,0.00,0.00,47,1221.63,407.13,2597.08,6.00,150.03,0.94,23.52,
