System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core5 (Socket 0)-EXEC,Core5 (Socket 0)-IPC,Core5 (Socket 0)-FREQ,Core5 (Socket 0)-AFREQ,Core5 (Socket 0)-L3MISS,Core5 (Socket 0)-L2MISS,Core5 (Socket 0)-L3HIT,Core5 (Socket 0)-L2HIT,Core5 (Socket 0)-L3MPI,Core5 (Socket 0)-L2MPI,Core5 (Socket 0)-L3OCC,Core5 (Socket 0)-C0res%,Core5 (Socket 0)-C1res%,Core5 (Socket 0)-C3res%,Core5 (Socket 0)-C6res%,Core5 (Socket 0)-C7res%,Core5 (Socket 0)-TEMP,Core5 (Socket 0)-INST,Core5 (Socket 0)-ACYC,Core5 (Socket 0)-TIME(ticks),Core5 (Socket 0)-PhysIPC,Core5 (Socket 0)-PhysIPC%,Core5 (Socket 0)-INSTnom,Core5 (Socket 0)-INSTnom%,-
2024-02-27,11:25:35.081,0.29,3.15,0.09,1.12,0.08,8.22,0.99,0.51,0.0000,0.0006, 12440,0.18,0.16,99,47,14893.23,4722.62,2600.02,6.31,157.68,0.57,14.32,0.05,1.39,0.04,1.19,0.05,2.55,0.98,0.91,0.0000,0.0010, 22200,0.12,0.01,96,45,2562.28,1847.48,2600.02,2.77,69.35,0.10,2.46,8.14,67.82,0.02,24.02,0.00,100.00,0.00,0.00,0.00,0.00,2.99,33.79,0.23,62.99,0.00,100.00,0.00,0.00,0.00,0.00,75.74,55.64,4.16 ,4.35 ,1215234.18 ,1230051.89 ,3.00,3.00,0.83,3.47,0.24,1.12,0.00,1.19,1.00,0.13,0.0000,0.0005,  3320,21.47,78.53,0.00,0.00,0.00,51,2158.80,622.69,2600.02,6.93,173.35,1.66,41.51,
2024-02-27,11:25:36.081,0.15,2.34,0.06,1.12,0.08,15.36,0.99,0.39,0.0000,0.0020, 13120,0.73,0.64,99,47,7731.41,3303.89,2599.05,4.68,117.00,0.30,7.44,0.03,1.54,0.02,1.22,0.06,2.26,0.97,0.43,0.0000,0.0014, 22760,0.46,0.02,96,44,1640.21,1063.41,2599.05,3.08,77.12,0.06,1.58,5.70,76.81,0.01,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.73,0.13,69.46,0.00,100.00,0.00,0.00,0.00,0.00,76.80,52.55,4.56 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.39,2.53,0.15,1.12,0.00,2.28,1.00,0.13,0.0000,0.0023,  3760,13.75,86.25,0.00,0.00,0.00,51,1009.78,398.70,2599.05,5.07,126.63,0.78,19.43,
2024-02-27,11:25:37.081,0.15,2.31,0.06,1.12,0.09,15.51,0.99,0.40,0.0000,0.0020, 14600,0.72,0.63,99,47,7739.44,3352.74,2595.92,4.62,115.42,0.30,7.45,0.03,1.55,0.02,1.22,0.02,2.10,0.99,0.39,0.0000,0.0013, 23600,0.44,0.01,96,44,1605.63,1033.94,2595.92,3.11,77.65,0.06,1.55,5.79,76.92,0.01,17.28,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.61,0.17,69.58,0.00,100.00,0.00,0.00,0.00,0.00,77.05,52.34,4.56 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.39,2.52,0.15,1.12,0.00,2.30,1.00,0.13,0.0000,0.0023,  4440,13.85,86.15,0.00,0.00,0.00,51,1012.60,401.08,2595.92,5.05,126.23,0.78,19.50,
2024-02-27,11:25:38.081,0.15,2.38,0.06,1.12,0.08,15.40,0.99,0.41,0.0000,0.0020, 15520,0.71,0.62,99,46,7742.27,3248.69,2598.02,4.77,119.16,0.30,7.45,0.03,1.61,0.02,1.22,0.01,2.11,1.00,0.39,0.0000,0.0013, 24080,0.43,0.01,95,44,1630.20,1015.33,2598.02,3.21,80.28,0.06,1.57,5.60,77.13,0.00,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.33,0.15,69.92,0.00,100.00,0.00,0.00,0.00,0.00,77.16,52.35,4.57 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.39,2.60,0.15,1.12,0.00,2.29,1.00,0.13,0.0000,0.0023,  4240,13.44,86.56,0.00,0.00,0.00,50,1011.16,389.54,2598.02,5.19,129.79,0.78,19.46,
2024-02-27,11:25:39.081,0.15,2.24,0.07,1.12,0.10,15.41,0.99,0.39,0.0000,0.0020, 16600,0.71,0.62,99,47,7744.99,3458.45,2596.15,4.48,111.97,0.30,7.46,0.03,1.57,0.02,1.22,0.02,2.13,0.99,0.39,0.0000,0.0013, 23800,0.43,0.01,95,43,1610.67,1027.14,2596.15,3.14,78.41,0.06,1.55,5.97,77.35,0.01,16.67,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.57,0.14,69.66,0.00,100.00,0.00,0.00,0.00,0.00,77.24,52.42,4.55 ,4.40 ,0.00 ,298909.50 ,3.00,3.00,0.40,2.57,0.15,1.12,0.00,2.29,1.00,0.13,0.0000,0.0022,  4160,13.84,86.16,0.00,0.00,0.00,50,1030.88,400.83,2596.15,5.14,128.59,0.79,19.86,
2024-02-27,11:25:40.081,0.16,2.37,0.07,1.12,0.11,16.52,0.99,0.40,0.0000,0.0020, 17440,0.66,0.62,97,46,8142.62,3433.63,2597.93,4.74,118.57,0.31,7.84,0.03,1.48,0.02,1.20,0.07,2.60,0.97,0.40,0.0000,0.0016, 23600,0.50,0.04,94,43,1642.67,1107.80,2597.93,2.97,74.14,0.06,1.58,5.92,77.75,0.03,16.29,0.00,100.00,0.00,0.00,0.00,0.00,1.77,31.71,0.33,66.19,0.00,100.00,0.00,0.00,0.00,0.00,78.06,53.23,4.54 ,4.44 ,0.17 ,0.00 ,3.00,3.00,0.41,2.68,0.15,1.12,0.00,2.42,1.00,0.13,0.0000,0.0022,  4320,13.87,86.13,0.00,0.00,0.00,50,1077.48,401.88,2597.93,5.36,134.06,0.83,20.74,
2024-02-27,11:25:41.081,0.16,2.43,0.06,1.12,0.05,17.09,1.00,0.39,0.0000,0.0021, 18080,0.62,0.57,99,46,8123.11,3348.10,2597.75,4.85,121.31,0.31,7.82,0.03,1.55,0.02,1.22,0.03,2.08,0.98,0.40,0.0000,0.0013, 24040,0.45,0.01,96,43,1610.09,1036.93,2597.75,3.11,77.64,0.06,1.55,5.78,77.55,0.02,16.65,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.91,0.17,69.28,0.00,100.00,0.00,0.00,0.00,0.00,78.45,52.49,4.52 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.42,2.75,0.15,1.12,0.00,2.54,1.00,0.13,0.0000,0.0023,  4800,13.81,86.19,0.00,0.00,0.00,49,1099.15,400.09,2597.75,5.49,137.36,0.85,21.16,
2024-02-27,11:25:42.082,0.16,2.46,0.06,1.12,0.06,17.04,1.00,0.39,0.0000,0.0021, 17720,0.61,0.57,99,46,8089.05,3293.04,2598.32,4.91,122.82,0.31,7.78,0.03,1.59,0.02,1.22,0.02,2.21,0.99,0.39,0.0000,0.0013, 24320,0.43,0.01,96,43,1644.81,1035.62,2598.32,3.18,79.41,0.06,1.58,5.68,76.83,0.02,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.39,0.15,69.83,0.00,100.00,0.00,0.00,0.00,0.00,78.21,52.47,4.52 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.42,2.77,0.15,1.12,0.00,2.53,1.00,0.13,0.0000,0.0023,  4360,13.66,86.34,0.00,0.00,0.00,49,1096.85,395.89,2598.32,5.54,138.53,0.84,21.11,
2024-02-27,11:25:43.081,0.16,2.46,0.06,1.12,0.06,17.22,1.00,0.39,0.0000,0.0021, 18120,0.61,0.57,99,46,8151.62,3315.96,2595.51,4.92,122.92,0.31,7.85,0.03,1.57,0.02,1.22,0.02,2.26,0.99,0.38,0.0000,0.0014, 24280,0.43,0.01,95,42,1641.80,1046.35,2595.51,3.14,78.45,0.06,1.58,5.73,76.81,0.02,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.42,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.27,52.51,4.50 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.42,2.76,0.15,1.12,0.00,2.55,1.00,0.13,0.0000,0.0023,  4680,13.80,86.20,0.00,0.00,0.00,48,1102.55,399.42,2595.51,5.52,138.02,0.85,21.24,
2024-02-27,11:25:44.082,0.16,2.43,0.06,1.12,0.08,17.32,1.00,0.38,0.0000,0.0021, 18320,0.61,0.56,99,46,8129.74,3345.64,2597.74,4.86,121.50,0.31,7.82,0.03,1.59,0.02,1.22,0.01,2.11,0.99,0.39,0.0000,0.0013, 24320,0.43,0.01,96,43,1621.89,1021.90,2597.74,3.17,79.36,0.06,1.56,5.77,76.83,0.01,17.38,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.29,0.14,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.30,52.51,4.53 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.42,2.73,0.15,1.12,0.00,2.57,1.00,0.13,0.0000,0.0023,  4440,13.88,86.12,0.00,0.00,0.00,49,1099.31,402.24,2597.74,5.47,136.65,0.85,21.16,
