System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core1 (Socket 0)-EXEC,Core1 (Socket 0)-IPC,Core1 (Socket 0)-FREQ,Core1 (Socket 0)-AFREQ,Core1 (Socket 0)-L3MISS,Core1 (Socket 0)-L2MISS,Core1 (Socket 0)-L3HIT,Core1 (Socket 0)-L2HIT,Core1 (Socket 0)-L3MPI,Core1 (Socket 0)-L2MPI,Core1 (Socket 0)-L3OCC,Core1 (Socket 0)-C0res%,Core1 (Socket 0)-C1res%,Core1 (Socket 0)-C3res%,Core1 (Socket 0)-C6res%,Core1 (Socket 0)-C7res%,Core1 (Socket 0)-TEMP,Core1 (Socket 0)-INST,Core1 (Socket 0)-ACYC,Core1 (Socket 0)-TIME(ticks),Core1 (Socket 0)-PhysIPC,Core1 (Socket 0)-PhysIPC%,Core1 (Socket 0)-INSTnom,Core1 (Socket 0)-INSTnom%,-
2024-02-27,11:25:35.869,0.15,2.34,0.06,1.12,0.08,15.38,0.99,0.36,0.0000,0.0020, 13760,0.74,0.64,99,47,7704.84,3286.70,2600.28,4.69,117.21,0.30,7.41,0.03,1.56,0.02,1.20,0.03,2.18,0.99,0.67,0.0000,0.0012, 22640,0.47,0.02,96,44,1810.33,1160.01,2600.28,3.12,78.03,0.07,1.74,5.67,74.97,0.00,19.36,0.00,100.00,0.00,0.00,0.00,0.00,1.86,30.50,0.12,67.52,0.00,100.00,0.00,0.00,0.00,0.00,75.87,53.64,4.57 ,4.42 ,1414169.90 ,1433122.99 ,3.00,3.00,0.36,2.30,0.16,1.12,0.00,2.91,1.00,0.41,0.0000,0.0031,   120,14.11,85.89,0.00,0.00,0.00,48,940.25,409.13,2600.28,4.60,114.91,0.72,18.08,
2024-02-27,11:25:36.870,0.15,2.29,0.07,1.12,0.09,15.51,0.99,0.40,0.0000,0.0020, 15120,0.72,0.63,99,46,7796.52,3399.21,2598.15,4.59,114.68,0.30,7.50,0.03,1.54,0.02,1.22,0.02,2.15,0.99,0.40,0.0000,0.0013, 23560,0.45,0.01,96,45,1643.55,1066.28,2598.15,3.08,77.07,0.06,1.58,5.86,76.85,0.01,17.27,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.59,0.17,69.55,0.00,100.00,0.00,0.00,0.00,0.00,77.04,52.40,4.55 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.35,2.25,0.16,1.12,0.00,2.94,1.00,0.40,0.0000,0.0032,   200,14.05,85.95,0.00,0.00,0.00,48,914.82,407.12,2598.15,4.49,112.35,0.70,17.61,
2024-02-27,11:25:37.869,0.15,2.38,0.06,1.12,0.09,15.53,0.99,0.40,0.0000,0.0020, 15360,0.71,0.62,99,47,7764.61,3261.30,2595.98,4.76,119.04,0.30,7.48,0.03,1.65,0.02,1.23,0.01,2.08,1.00,0.39,0.0000,0.0013, 24120,0.43,0.01,95,43,1594.03,966.30,2595.98,3.30,82.48,0.06,1.54,5.63,77.11,0.00,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.52,28.41,0.14,69.93,0.00,100.00,0.00,0.00,0.00,0.00,77.06,52.36,4.57 ,4.40 ,0.23 ,0.33 ,3.00,3.00,0.36,2.34,0.15,1.12,0.00,2.95,1.00,0.40,0.0000,0.0031,    80,13.80,86.20,0.00,0.00,0.00,48,935.53,399.58,2595.98,4.68,117.06,0.72,18.02,
2024-02-27,11:25:38.874,0.15,2.27,0.07,1.12,0.09,15.57,0.99,0.39,0.0000,0.0020, 17000,0.72,0.62,99,46,7846.31,3457.01,2610.85,4.54,113.48,0.30,7.53,0.03,1.54,0.02,1.22,0.01,2.09,0.99,0.41,0.0000,0.0013, 23520,0.43,0.01,95,44,1644.51,1064.76,2610.85,3.09,77.22,0.06,1.58,5.95,77.21,0.02,16.82,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.48,0.15,69.68,0.00,100.00,0.00,0.00,0.00,0.00,77.50,52.50,4.57 ,4.41 ,425745.48 ,378542.47 ,3.00,3.00,0.36,2.28,0.16,1.12,0.00,2.95,1.00,0.40,0.0000,0.0032,   120,14.08,85.92,0.00,0.00,0.00,48,930.37,408.71,2610.85,4.55,113.82,0.71,17.87,
2024-02-27,11:25:39.871,0.16,2.31,0.07,1.12,0.11,16.40,0.99,0.40,0.0000,0.0020, 18040,0.68,0.62,98,46,8130.06,3525.06,2587.39,4.61,115.32,0.31,7.84,0.03,1.46,0.02,1.20,0.10,2.77,0.96,0.43,0.0001,0.0017, 23640,0.49,0.04,94,43,1667.42,1142.46,2587.39,2.92,72.98,0.06,1.61,6.09,77.65,0.02,16.24,0.00,100.00,0.00,0.00,0.00,0.00,1.84,31.59,0.34,66.24,0.00,100.00,0.00,0.00,0.00,0.00,77.73,53.17,4.53 ,4.43 ,0.00 ,0.10 ,3.00,3.00,0.38,2.39,0.16,1.12,0.00,3.09,1.00,0.40,0.0000,0.0031,   120,14.26,85.74,0.00,0.00,0.00,46,988.46,412.79,2587.39,4.79,119.73,0.76,19.04,
2024-02-27,11:25:40.871,0.16,2.44,0.06,1.12,0.06,16.92,1.00,0.39,0.0000,0.0021, 18680,0.62,0.58,99,45,8094.96,3318.89,2597.89,4.88,121.95,0.31,7.79,0.03,1.55,0.02,1.21,0.03,2.17,0.99,0.39,0.0000,0.0013, 23960,0.46,0.01,96,43,1623.15,1048.12,2597.89,3.10,77.43,0.06,1.56,5.73,77.73,0.03,16.51,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.98,0.17,69.18,0.00,100.00,0.00,0.00,0.00,0.00,78.46,52.49,4.52 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.37,2.44,0.15,1.12,0.00,3.28,1.00,0.38,0.0000,0.0034,   120,13.74,86.26,0.00,0.00,0.00,46,972.18,398.14,2597.89,4.88,122.09,0.75,18.71,
2024-02-27,11:25:41.871,0.16,2.47,0.06,1.12,0.06,17.41,1.00,0.38,0.0000,0.0021, 18200,0.61,0.57,99,46,8241.17,3337.88,2597.54,4.94,123.45,0.32,7.93,0.03,1.63,0.02,1.22,0.01,2.15,0.99,0.38,0.0000,0.0013, 24280,0.44,0.01,96,43,1598.86,981.58,2597.54,3.26,81.44,0.06,1.54,5.76,76.72,0.02,17.51,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.37,0.14,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.20,52.45,4.52 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.38,2.44,0.16,1.12,0.00,3.38,1.00,0.38,0.0000,0.0034,   200,14.04,85.96,0.00,0.00,0.00,47,992.88,406.85,2597.54,4.88,122.02,0.76,19.11,
2024-02-27,11:25:42.872,0.16,2.46,0.07,1.12,0.06,17.55,1.00,0.38,0.0000,0.0021, 17880,0.61,0.57,99,46,8319.80,3377.72,2597.71,4.93,123.16,0.32,8.01,0.03,1.53,0.02,1.21,0.01,2.07,1.00,0.41,0.0000,0.0013, 23680,0.43,0.01,95,43,1637.62,1072.49,2597.71,3.05,76.35,0.06,1.58,5.83,76.74,0.02,17.41,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.45,0.13,69.72,0.00,100.00,0.00,0.00,0.00,0.00,78.34,52.52,4.51 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.39,2.45,0.16,1.12,0.00,3.41,1.00,0.38,0.0000,0.0034,   200,14.13,85.87,0.00,0.00,0.00,46,1002.08,409.42,2597.71,4.90,122.38,0.77,19.29,
2024-02-27,11:25:43.872,0.16,2.42,0.07,1.12,0.06,17.41,1.00,0.39,0.0000,0.0021, 18600,0.61,0.56,99,46,8250.95,3408.37,2597.82,4.84,121.04,0.32,7.94,0.03,1.54,0.02,1.22,0.04,2.18,0.98,0.39,0.0000,0.0013, 24240,0.44,0.01,96,43,1637.65,1064.98,2597.82,3.08,76.89,0.06,1.58,5.88,76.69,0.01,17.42,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.24,0.14,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.30,52.48,4.53 ,4.39 ,0.03 ,0.10 ,3.00,3.00,0.38,2.43,0.16,1.12,0.00,3.38,1.00,0.38,0.0000,0.0034,   160,14.12,85.88,0.00,0.00,0.00,46,993.74,409.19,2597.82,4.86,121.43,0.77,19.13,
2024-02-27,11:25:44.872,0.16,2.49,0.06,1.12,0.08,17.12,1.00,0.39,0.0000,0.0021, 19040,0.61,0.56,99,46,8123.61,3265.78,2597.40,4.97,124.37,0.31,7.82,0.03,1.65,0.02,1.22,0.02,2.13,0.99,0.39,0.0000,0.0013, 23920,0.43,0.01,96,43,1599.31,971.93,2597.40,3.29,82.27,0.06,1.54,5.64,77.12,0.01,17.23,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.54,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.36,52.60,4.52 ,4.40 ,0.03 ,0.10 ,3.00,3.00,0.37,2.44,0.15,1.12,0.00,3.30,1.00,0.38,0.0000,0.0034,   120,13.71,86.29,0.00,0.00,0.00,46,967.89,397.30,2597.40,4.87,121.81,0.75,18.63,
