System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,15:14:00.696,0.27,3.23,0.08,1.12,0.09,8.26,0.99,0.44,0.0000,0.0006, 13640,0.24,0.22,99,50,13900.75,4307.52,2599.19,6.45,161.35,0.53,13.37,0.06,1.51,0.04,1.17,0.05,2.68,0.98,0.91,0.0000,0.0009, 22120,0.16,0.01,95,48,2981.61,1970.85,2599.19,3.03,75.64,0.11,2.87,7.43,67.50,0.04,25.03,0.00,100.00,0.00,0.00,0.00,0.00,3.24,36.49,0.18,60.09,0.00,100.00,0.00,0.00,0.00,0.00,74.13,56.84,4.25 ,4.34 ,16067233.04 ,18789975.67 ,3.00,3.00,0.81,3.53,0.23,1.12,0.00,0.97,1.00,0.12,0.0000,0.0005,   320,20.57,79.43,0.00,0.00,0.00,54,2106.21,596.25,2599.19,7.06,176.62,1.62,40.51,
2024-02-27,15:14:01.697,0.15,2.29,0.07,1.12,0.09,15.39,0.99,0.41,0.0000,0.0020, 15640,0.72,0.64,99,50,7764.08,3386.17,2598.50,4.59,114.64,0.30,7.47,0.03,1.52,0.02,1.21,0.02,2.06,0.99,0.39,0.0000,0.0012, 22080,0.45,0.01,96,48,1648.31,1084.46,2598.50,3.04,76.00,0.06,1.59,5.84,77.01,0.00,17.15,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.26,0.13,69.89,0.00,100.00,0.00,0.00,0.00,0.00,76.65,51.89,4.56 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.44,2.81,0.16,1.12,0.00,1.89,1.00,0.11,0.0000,0.0017,   720,13.95,86.05,0.00,0.00,0.00,55,1136.96,404.33,2598.50,5.62,140.60,0.88,21.88,
2024-02-27,15:14:02.697,0.15,2.38,0.06,1.12,0.09,15.61,0.99,0.41,0.0000,0.0020, 16120,0.71,0.63,99,50,7875.55,3304.02,2596.09,4.77,119.18,0.30,7.58,0.03,1.70,0.02,1.23,0.01,2.09,0.99,0.41,0.0000,0.0013, 23040,0.44,0.01,96,47,1655.74,975.28,2596.09,3.40,84.89,0.06,1.59,5.71,77.19,0.01,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.55,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,76.75,51.96,4.55 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.45,2.86,0.16,1.12,0.00,1.93,1.00,0.11,0.0000,0.0017,   760,13.95,86.05,0.00,0.00,0.00,54,1156.77,403.86,2596.09,5.73,143.21,0.89,22.28,
2024-02-27,15:14:03.697,0.14,2.31,0.06,1.12,0.09,15.13,0.99,0.37,0.0000,0.0020, 16240,0.71,0.62,99,50,7405.98,3202.08,2598.15,4.63,115.64,0.29,7.13,0.03,1.54,0.02,1.20,0.01,2.05,1.00,0.68,0.0000,0.0012, 23000,0.43,0.01,96,47,1780.00,1152.24,2598.15,3.09,77.24,0.07,1.71,5.52,75.15,0.01,19.31,0.00,100.00,0.00,0.00,0.00,0.00,1.85,30.43,0.14,67.58,0.00,100.00,0.00,0.00,0.00,0.00,75.71,53.24,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.43,2.82,0.15,1.12,0.00,1.87,1.00,0.11,0.0000,0.0017,   720,13.56,86.44,0.00,0.00,0.00,54,1107.35,393.08,2598.15,5.63,140.86,0.85,21.31,
2024-02-27,15:14:04.697,0.15,2.37,0.06,1.12,0.08,15.83,0.99,0.40,0.0000,0.0020, 16360,0.70,0.62,99,49,7916.39,3342.27,2597.84,4.74,118.43,0.30,7.62,0.03,1.62,0.02,1.22,0.01,2.11,1.00,0.39,0.0000,0.0013, 23520,0.42,0.01,95,47,1660.78,1028.28,2597.84,3.23,80.76,0.06,1.60,5.77,77.10,0.02,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.52,0.13,69.74,0.00,100.00,0.00,0.00,0.00,0.00,76.86,52.04,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.45,2.86,0.16,1.12,0.00,1.96,1.00,0.11,0.0000,0.0017,   680,14.08,85.92,0.00,0.00,0.00,52,1165.46,407.97,2597.84,5.71,142.84,0.90,22.43,
2024-02-27,15:14:05.698,0.15,2.37,0.06,1.12,0.08,15.72,0.99,0.38,0.0000,0.0020, 17000,0.70,0.61,99,49,7706.37,3253.27,2597.96,4.74,118.44,0.30,7.42,0.03,1.64,0.02,1.21,0.01,2.03,1.00,0.64,0.0000,0.0011, 23880,0.42,0.01,95,47,1777.56,1084.32,2597.96,3.28,81.97,0.07,1.71,5.61,75.79,0.03,18.57,0.00,100.00,0.00,0.00,0.00,0.00,1.73,30.24,0.16,67.87,0.00,100.00,0.00,0.00,0.00,0.00,76.18,52.98,4.55 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.44,2.87,0.15,1.12,0.00,1.95,1.00,0.11,0.0000,0.0017,  1000,13.84,86.16,0.00,0.00,0.00,53,1148.82,400.93,2597.96,5.73,143.27,0.88,22.11,
2024-02-27,15:14:06.697,0.15,2.32,0.06,1.12,0.08,15.60,0.99,0.41,0.0000,0.0020, 17960,0.70,0.61,99,48,7769.15,3351.28,2595.83,4.64,115.91,0.30,7.48,0.03,1.47,0.02,1.21,0.02,2.30,0.99,0.38,0.0000,0.0014, 23320,0.44,0.01,95,46,1619.22,1099.13,2595.83,2.95,73.66,0.06,1.56,5.79,77.25,0.00,16.96,0.00,100.00,0.00,0.00,0.00,0.00,1.75,29.02,0.13,69.10,0.00,100.00,0.00,0.00,0.00,0.00,76.91,52.08,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.44,2.83,0.15,1.12,0.00,1.93,1.00,0.11,0.0000,0.0017,   880,13.87,86.13,0.00,0.00,0.00,52,1135.91,401.74,2595.83,5.65,141.37,0.88,21.88,
2024-02-27,15:14:07.697,0.15,2.42,0.06,1.12,0.09,15.63,0.99,0.36,0.0000,0.0020, 18720,0.69,0.61,99,49,7647.76,3156.31,2597.97,4.85,121.15,0.29,7.36,0.03,1.70,0.02,1.21,0.01,2.21,0.99,0.64,0.0000,0.0013, 23080,0.43,0.01,95,47,1756.63,1031.65,2597.97,3.41,85.14,0.07,1.69,5.45,75.20,0.01,19.34,0.00,100.00,0.00,0.00,0.00,0.00,1.64,30.48,0.13,67.75,0.00,100.00,0.00,0.00,0.00,0.00,75.90,53.23,4.55 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.44,2.88,0.15,1.12,0.00,1.94,1.00,0.11,0.0000,0.0017,  1040,13.66,86.34,0.00,0.00,0.00,53,1141.63,395.76,2597.97,5.77,144.23,0.88,21.97,
2024-02-27,15:14:08.698,0.14,2.07,0.07,1.12,0.19,15.08,0.99,0.37,0.0000,0.0020, 17640,0.73,0.66,97,48,7514.31,3627.77,2598.16,4.14,103.57,0.29,7.23,0.04,1.28,0.03,1.17,0.09,2.63,0.97,0.67,0.0000,0.0014, 24640,0.48,0.03,91,47,1828.53,1431.41,2598.16,2.55,63.87,0.07,1.76,6.26,78.29,0.14,15.31,0.00,100.00,0.00,0.00,0.00,0.00,2.35,35.07,0.22,62.36,0.00,100.00,0.00,0.00,0.00,0.00,76.72,54.75,4.55 ,4.41 ,615067.76 ,618159.90 ,3.00,3.00,0.43,2.79,0.16,1.12,0.00,1.78,1.00,0.11,0.0000,0.0016,   640,13.97,86.03,0.00,0.00,0.00,52,1130.20,404.89,2598.16,5.58,139.57,0.87,21.75,
