System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-27,18:54:39.815,1.37,3.43,0.40,1.12,0.16,11.61,0.99,0.79,0.0000,0.0002,  8400,0.02,0.01,98,48,71170.61,20731.00,2598.69,6.87,171.65,2.74,68.47,0.17,1.32,0.13,1.21,0.12,8.71,0.99,0.91,0.0000,0.0010, 10200,0.01,0.00,94,47,8997.35,6829.27,2598.69,2.63,65.87,0.35,8.66,35.76,42.96,0.00,21.28,0.00,100.00,0.00,0.00,0.00,0.00,10.87,18.59,0.04,70.49,0.00,100.00,0.00,0.00,0.00,0.00,78.27,52.78,3.78 ,4.25 ,3095.29 ,434.20 ,3.00,3.00,3.91,3.85,1.02,1.12,0.01,1.45,1.00,0.13,0.0000,0.0001,   760,91.13,8.87,0.00,0.00,0.00,49,10168.07,2641.62,2598.69,7.70,192.46,7.83,195.64,
2024-02-27,18:54:40.817,0.33,3.30,0.10,1.12,0.09,7.89,0.99,0.36,0.0000,0.0005, 11200,0.09,0.08,99,49,17402.00,5274.64,2599.94,6.60,164.96,0.67,16.73,0.07,1.44,0.05,1.17,0.08,3.19,0.97,0.92,0.0000,0.0009, 21440,0.06,18446744073.71,96,47,3567.27,2480.01,2599.94,2.88,71.92,0.14,3.43,9.09,64.85,0.12,25.94,0.00,100.00,0.00,0.00,0.00,0.00,4.08,35.89,0.14,59.89,0.00,100.00,0.00,0.00,0.00,0.00,74.41,57.25,4.02 ,4.33 ,431350.96 ,433067.05 ,3.00,3.00,1.03,3.65,0.28,1.12,0.00,0.97,1.00,0.14,0.0000,0.0004,  1120,25.23,74.77,0.00,0.00,0.00,50,2671.79,731.68,2599.94,7.30,182.58,2.06,51.38,
2024-02-27,18:54:41.816,0.15,2.37,0.06,1.12,0.09,15.24,0.99,0.36,0.0000,0.0020, 13800,0.74,0.65,99,47,7638.39,3217.69,2595.50,4.75,118.69,0.29,7.36,0.03,1.63,0.02,1.20,0.02,2.05,0.99,0.67,0.0000,0.0011, 22360,0.46,0.02,96,46,1816.31,1113.50,2595.50,3.26,81.56,0.07,1.75,5.56,75.14,0.02,19.28,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.44,0.11,67.67,0.00,100.00,0.00,0.00,0.00,0.00,75.59,53.33,4.56 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.46,2.96,0.16,1.12,0.00,1.96,1.00,0.13,0.0000,0.0016,  1880,13.90,86.10,0.00,0.00,0.00,50,1192.86,402.37,2595.50,5.93,148.23,0.92,22.98,
2024-02-27,18:54:42.817,0.14,2.32,0.06,1.12,0.09,14.96,0.99,0.40,0.0000,0.0020, 14520,0.73,0.64,99,48,7501.07,3229.97,2598.15,4.64,116.12,0.29,7.22,0.03,1.59,0.02,1.22,0.02,2.06,0.99,0.40,0.0000,0.0012, 22680,0.44,0.01,96,45,1649.89,1038.62,2598.15,3.18,79.43,0.06,1.59,5.57,77.17,0.01,17.24,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.42,0.12,69.82,0.00,100.00,0.00,0.00,0.00,0.00,76.81,52.17,4.56 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.44,2.93,0.15,1.12,0.00,1.91,1.00,0.13,0.0000,0.0017,  2080,13.37,86.63,0.00,0.00,0.00,50,1137.38,387.56,2598.15,5.87,146.74,0.88,21.89,
2024-02-27,18:54:43.817,0.15,2.33,0.06,1.12,0.09,15.54,0.99,0.39,0.0000,0.0020, 15080,0.73,0.63,99,47,7773.66,3332.00,2597.75,4.67,116.65,0.30,7.48,0.03,1.57,0.02,1.22,0.01,2.03,0.99,0.38,0.0000,0.0013, 22400,0.43,0.01,95,46,1594.78,1014.18,2597.75,3.14,78.62,0.06,1.53,5.75,77.00,0.00,17.25,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.31,0.11,69.99,0.00,100.00,0.00,0.00,0.00,0.00,76.96,52.20,4.56 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.46,2.94,0.16,1.12,0.00,2.00,1.00,0.13,0.0000,0.0017,  1840,13.92,86.08,0.00,0.00,0.00,48,1186.05,403.47,2597.75,5.88,146.98,0.91,22.83,
2024-02-27,18:54:44.817,0.15,1.99,0.07,1.12,0.20,14.72,0.99,0.42,0.0000,0.0019, 16560,0.73,0.68,96,46,7584.69,3812.97,2598.08,3.98,99.46,0.29,7.30,0.03,1.13,0.03,1.18,0.09,2.65,0.96,0.40,0.0001,0.0017, 23800,0.50,0.04,91,47,1566.30,1380.58,2598.08,2.27,56.73,0.06,1.51,6.58,78.33,0.04,15.05,0.00,100.00,0.00,0.00,0.00,0.00,2.26,35.94,0.26,61.55,0.00,100.00,0.00,0.00,0.00,0.00,77.28,54.09,4.58 ,4.43 ,0.21 ,0.00 ,3.00,3.00,0.44,2.85,0.15,1.12,0.00,1.85,1.00,0.13,0.0000,0.0016,  2280,13.84,86.16,0.00,0.00,0.00,48,1141.99,401.01,2598.08,5.70,142.39,0.88,21.98,
2024-02-27,18:54:45.818,0.16,2.45,0.06,1.12,0.06,16.92,1.00,0.38,0.0000,0.0021, 16760,0.63,0.59,99,47,8120.14,3319.56,2597.94,4.89,122.31,0.31,7.81,0.03,1.55,0.02,1.22,0.02,2.18,0.99,0.37,0.0000,0.0013, 24560,0.45,0.01,96,46,1657.59,1070.83,2597.94,3.10,77.40,0.06,1.60,5.73,77.09,0.02,17.16,0.00,100.00,0.00,0.00,0.00,0.00,1.70,28.56,0.13,69.61,0.00,100.00,0.00,0.00,0.00,0.00,77.97,52.20,4.55 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.47,3.01,0.15,1.12,0.00,2.16,1.00,0.13,0.0000,0.0018,  2280,13.88,86.12,0.00,0.00,0.00,46,1209.63,402.21,2597.94,6.01,150.37,0.93,23.28,
2024-02-27,18:54:46.818,0.15,2.44,0.06,1.12,0.06,16.64,1.00,0.38,0.0000,0.0021, 17000,0.63,0.59,99,47,7986.32,3274.02,2597.99,4.88,121.97,0.31,7.68,0.03,1.64,0.02,1.22,0.02,2.11,0.99,0.37,0.0000,0.0013, 24320,0.44,0.01,96,45,1632.68,998.32,2597.99,3.27,81.77,0.06,1.57,5.65,77.38,0.04,16.93,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.97,0.12,69.33,0.00,100.00,0.00,0.00,0.00,0.00,78.10,52.31,4.53 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.45,2.97,0.15,1.12,0.00,2.11,1.00,0.13,0.0000,0.0018,  2480,13.59,86.41,0.00,0.00,0.00,48,1171.49,393.83,2597.99,5.95,148.73,0.90,22.55,
2024-02-27,18:54:47.819,0.16,2.44,0.06,1.12,0.06,16.99,1.00,0.38,0.0000,0.0021, 16800,0.63,0.58,99,46,8094.88,3320.98,2598.57,4.87,121.87,0.31,7.79,0.03,1.51,0.02,1.21,0.02,2.11,0.99,0.37,0.0000,0.0013, 24680,0.43,0.01,96,45,1610.06,1066.08,2598.57,3.02,75.51,0.06,1.55,5.73,76.93,0.00,17.34,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.26,0.11,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.00,52.33,4.53 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.46,2.97,0.16,1.12,0.00,2.16,1.00,0.13,0.0000,0.0018,  2160,13.93,86.07,0.00,0.00,0.00,48,1199.33,403.61,2598.57,5.94,148.58,0.92,23.08,
2024-02-27,18:54:48.819,0.16,2.45,0.06,1.12,0.08,17.33,1.00,0.38,0.0000,0.0021, 17080,0.63,0.58,99,46,8244.83,3358.73,2597.60,4.91,122.74,0.32,7.93,0.03,1.61,0.02,1.22,0.01,2.08,0.99,0.41,0.0000,0.0013, 24160,0.43,0.01,96,46,1650.10,1027.95,2597.60,3.21,80.26,0.06,1.59,5.80,76.77,0.00,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.25,0.12,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.02,52.25,4.54 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.47,3.02,0.16,1.12,0.00,2.20,1.00,0.13,0.0000,0.0018,  2400,13.92,86.08,0.00,0.00,0.00,47,1218.38,403.32,2597.60,6.04,151.04,0.94,23.45,
2024-02-27,18:54:49.819,0.15,2.42,0.06,1.12,0.07,16.57,1.00,0.38,0.0000,0.0021, 17000,0.63,0.58,99,46,7909.63,3272.75,2597.69,4.83,120.84,0.30,7.61,0.03,1.60,0.02,1.22,0.01,2.14,0.99,0.37,0.0000,0.0013, 24240,0.43,0.01,96,45,1659.21,1034.13,2597.69,3.21,80.22,0.06,1.60,5.65,77.15,0.00,17.20,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.30,0.10,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.09,52.29,4.52 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.45,2.96,0.15,1.12,0.00,2.11,1.00,0.13,0.0000,0.0018,  2240,13.64,86.36,0.00,0.00,0.00,47,1168.55,395.31,2597.69,5.91,147.80,0.90,22.49,
