Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11395048,2763516,1747914,96421136,8384348,140,386848
1,10721410,126994,4722438,11093306,0,27552,165760
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11392416,2871498,1670886,98142632,8337182,140,383600
1,10725022,126630,4647762,10380174,0,27384,164430
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11473336,2942674,1704892,99149316,8295364,0,398538
1,10738140,126784,4483724,10116750,0,27776,163884
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,16164554,3692500,1601054,127447054,12101796,0,519946
1,15688092,178332,4327750,12725314,0,40320,236376
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
