,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-26,12:13:14.251,  148.94,  207.59,  543.79,  403.84,,,,,  692.73,  611.43,2012765306, 1304.16,  219.83,    8.87,  217.83,    5.66,,,,,  437.66,   14.54,2012999134,  452.20,   1130.39,    625.97,   1756.36
2024-02-26,12:13:15.251,  153.33,  212.78,  563.77,  417.56,,,,,  717.11,  630.35,2133370598, 1347.45,  219.88,    6.83,  217.89,    3.40,,,,,  437.76,   10.23,2133483506,  448.00,   1154.87,    640.58,   1795.45
2024-02-26,12:13:16.251,  151.62,  209.93,  559.26,  413.68,,,,,  710.88,  623.62,2133103792, 1334.49,  217.78,    6.71,  215.18,    3.26,,,,,  432.96,    9.97,2132962705,  442.93,   1143.84,    633.58,   1777.42
2024-02-26,12:13:17.251,  149.99,  206.26,  554.59,  408.73,,,,,  704.58,  614.99,2133069675, 1319.57,  211.42,    5.60,  208.51,    2.16,,,,,  419.94,    7.76,2133134684,  427.70,   1124.52,    622.75,   1747.27
2024-02-26,12:13:18.251,  148.97,  205.01,  550.76,  406.23,,,,,  699.73,  611.24,2132932266, 1310.97,  210.62,    6.64,  208.07,    3.21,,,,,  418.69,    9.85,2132809241,  428.54,   1118.42,    621.09,   1739.51
2024-02-26,12:13:19.252,  148.04,  203.11,  548.22,  403.69,,,,,  696.26,  606.80,2134954356, 1303.06,  216.46,    6.98,  213.30,    3.56,,,,,  429.76,   10.54,2134920113,  440.30,   1126.03,    617.33,   1743.36
2024-02-26,12:13:20.252,  147.21,  202.28,  546.52,  402.57,,,,,  693.74,  604.85,2133131957, 1298.59,  213.92,    6.38,  211.99,    2.99,,,,,  425.92,    9.37,2133655516,  435.29,   1119.65,    614.23,   1733.88
2024-02-26,12:13:21.253,  151.38,  215.35,  558.65,  418.52,,,,,  710.04,  633.87,2131938860, 1343.90,  230.06,   12.20,  226.83,    8.80,,,,,  456.89,   21.00,2131794863,  477.89,   1166.93,    654.86,   1821.79
2024-02-26,12:13:22.252,  139.92,  212.12,  516.03,  402.73,,,,,  655.95,  614.85,2133322517, 1270.80,  244.70,   13.69,  242.49,   10.21,,,,,  487.19,   23.90,2133028969,  511.09,   1143.14,    638.76,   1781.90
2024-02-26,12:13:23.253,  125.81,  193.18,  471.33,  370.81,,,,,  597.14,  563.99,2132844045, 1161.13,  222.13,    6.19,  220.67,    2.75,,,,,  442.80,    8.95,2132758295,  451.75,   1039.94,    572.94,   1612.88
2024-02-26,12:13:24.252,  126.01,  192.52,  473.69,  371.29,,,,,  599.70,  563.80,2134838600, 1163.50,  218.67,    6.22,  215.99,    2.78,,,,,  434.67,    9.00,2134755219,  443.66,   1034.37,    572.80,   1607.17
