Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,7043919470,2695266,2323720,96804064,8304226,0,413000(Total)
0,3873400524,1496054,306138,1404214,4783100,140,414022(Miss)
0,3170518946,1199212,2017582,95399850,3521126,0,0(Hit)
1,109177250,124838,5495476,10892658,0,28042,164556(Total)
1,126648648,0,126350,125062,0,28322,163562(Miss)
1,0,124838,5369126,10767596,0,0,994(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11367566,2877812,2422322,80413494,8349376,0,503776(Total)
0,10080,1377376,347690,2198140,5555088,140,504224(Miss)
0,11357486,1500436,2074632,78215354,2794288,0,0(Hit)
1,10611244,125174,5507992,19877410,0,28434,163702(Total)
1,6583038,0,15260,1583008,0,27636,163100(Miss)
