System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core2 (Socket 0)-EXEC,Core2 (Socket 0)-IPC,Core2 (Socket 0)-FREQ,Core2 (Socket 0)-AFREQ,Core2 (Socket 0)-L3MISS,Core2 (Socket 0)-L2MISS,Core2 (Socket 0)-L3HIT,Core2 (Socket 0)-L2HIT,Core2 (Socket 0)-L3MPI,Core2 (Socket 0)-L2MPI,Core2 (Socket 0)-L3OCC,Core2 (Socket 0)-C0res%,Core2 (Socket 0)-C1res%,Core2 (Socket 0)-C3res%,Core2 (Socket 0)-C6res%,Core2 (Socket 0)-C7res%,Core2 (Socket 0)-TEMP,Core2 (Socket 0)-INST,Core2 (Socket 0)-ACYC,Core2 (Socket 0)-TIME(ticks),Core2 (Socket 0)-PhysIPC,Core2 (Socket 0)-PhysIPC%,Core2 (Socket 0)-INSTnom,Core2 (Socket 0)-INSTnom%,-
2024-02-27,21:42:06.180,0.15,2.33,0.07,1.12,0.09,15.23,0.99,0.41,0.0000,0.0019, 13960,0.73,0.64,99,49,7912.85,3395.02,2599.99,4.66,116.54,0.30,7.61,0.03,1.58,0.02,1.22,0.03,2.13,0.98,0.38,0.0000,0.0013, 23160,0.47,0.02,95,46,1614.70,1023.30,2599.99,3.16,78.90,0.06,1.55,5.85,76.71,0.01,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.40,0.12,69.87,0.00,100.00,0.00,0.00,0.00,0.00,76.77,52.05,4.56 ,4.40 ,927396.44 ,935400.48 ,3.00,3.00,0.22,1.39,0.16,1.12,0.04,2.26,0.98,0.20,0.0001,0.0040,  2120,14.04,85.96,0.00,0.00,0.00,52,565.92,407.22,2599.99,2.78,69.49,0.44,10.88,
2024-02-27,21:42:07.181,0.15,2.29,0.07,1.12,0.15,15.49,0.99,0.41,0.0000,0.0020, 15840,0.70,0.65,98,49,7846.16,3428.13,2597.82,4.58,114.44,0.30,7.55,0.03,1.39,0.02,1.19,0.09,2.63,0.97,0.44,0.0001,0.0016, 22640,0.53,0.05,90,47,1616.22,1160.46,2597.82,2.79,69.64,0.06,1.56,5.92,77.51,0.04,16.53,0.00,100.00,0.00,0.00,0.00,0.00,1.87,31.70,0.24,66.19,0.00,100.00,0.00,0.00,0.00,0.00,77.31,53.04,4.55 ,4.44 ,0.33 ,0.33 ,3.00,3.00,0.22,1.44,0.15,1.12,0.03,2.22,0.99,0.20,0.0001,0.0039,  2440,13.64,86.36,0.00,0.00,0.00,52,567.44,395.34,2597.82,2.87,71.77,0.44,10.92,
2024-02-27,21:42:08.180,0.16,2.44,0.07,1.12,0.07,16.91,1.00,0.39,0.0000,0.0020, 16400,0.63,0.59,99,48,8253.59,3386.58,2595.09,4.87,121.86,0.32,7.95,0.03,1.61,0.02,1.22,0.02,2.02,0.99,0.39,0.0000,0.0012, 22880,0.45,0.01,95,47,1666.19,1035.23,2595.09,3.22,80.47,0.06,1.61,5.85,76.60,0.00,17.55,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.30,0.11,69.96,0.00,100.00,0.00,0.00,0.00,0.00,77.60,51.99,4.54 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.02,2.38,0.99,0.20,0.0000,0.0038,  2800,14.07,85.93,0.00,0.00,0.00,52,621.41,407.33,2595.09,3.05,76.28,0.48,11.97,
2024-02-27,21:42:09.179,0.16,2.43,0.07,1.12,0.07,17.06,1.00,0.39,0.0000,0.0021, 16440,0.62,0.58,99,48,8304.50,3422.18,2594.77,4.85,121.33,0.32,8.00,0.03,1.51,0.02,1.21,0.02,2.12,0.99,0.40,0.0000,0.0013, 23240,0.44,0.01,95,47,1648.11,1092.85,2594.77,3.02,75.40,0.06,1.59,5.91,76.66,0.00,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.74,28.30,0.11,69.86,0.00,100.00,0.00,0.00,0.00,0.00,77.72,52.04,4.51 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.02,2.39,0.99,0.20,0.0000,0.0038,  2800,14.18,85.82,0.00,0.00,0.00,51,626.58,410.51,2594.77,3.05,76.32,0.48,12.07,
2024-02-27,21:42:10.179,0.16,2.53,0.06,1.12,0.06,16.80,1.00,0.39,0.0000,0.0021, 16000,0.62,0.58,99,48,8153.59,3227.86,2597.57,5.05,126.30,0.31,7.85,0.03,1.70,0.02,1.23,0.01,2.11,0.99,0.38,0.0000,0.0013, 23280,0.43,0.01,95,47,1603.88,941.99,2597.57,3.41,85.13,0.06,1.54,5.57,76.95,0.03,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.48,28.59,0.14,69.79,0.00,100.00,0.00,0.00,0.00,0.00,77.85,52.12,4.53 ,4.38 ,494896.46 ,0.00 ,3.00,3.00,0.24,1.56,0.15,1.12,0.02,2.35,0.99,0.20,0.0000,0.0038,  2600,13.67,86.33,0.00,0.00,0.00,51,616.38,396.19,2597.57,3.11,77.79,0.47,11.86,
2024-02-27,21:42:11.180,0.16,2.42,0.07,1.12,0.07,16.81,1.00,0.39,0.0000,0.0021, 16840,0.61,0.57,99,47,8197.73,3386.20,2597.73,4.84,121.05,0.32,7.89,0.03,1.51,0.02,1.21,0.02,2.09,0.99,0.38,0.0000,0.0013, 23880,0.44,0.01,95,46,1639.24,1083.62,2597.73,3.03,75.64,0.06,1.58,5.84,76.86,0.01,17.28,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.62,0.14,69.52,0.00,100.00,0.00,0.00,0.00,0.00,77.89,52.23,4.52 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.24,1.52,0.16,1.12,0.02,2.36,0.99,0.20,0.0000,0.0038,  2800,13.99,86.01,0.00,0.00,0.00,52,617.75,405.27,2597.73,3.05,76.22,0.48,11.89,
2024-02-27,21:42:12.180,0.16,2.51,0.06,1.12,0.05,17.36,1.00,0.38,0.0000,0.0021, 16880,0.61,0.57,99,47,8367.90,3332.00,2597.48,5.02,125.57,0.32,8.05,0.03,1.61,0.02,1.22,0.01,2.08,1.00,0.38,0.0000,0.0013, 23920,0.43,0.01,95,46,1637.78,1015.15,2597.48,3.23,80.67,0.06,1.58,5.75,76.70,0.01,17.54,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.26,0.17,69.97,0.00,100.00,0.00,0.00,0.00,0.00,77.86,52.09,4.52 ,4.39 ,0.27 ,0.33 ,3.00,3.00,0.25,1.57,0.16,1.12,0.02,2.43,0.99,0.20,0.0000,0.0038,  2920,14.06,85.94,0.00,0.00,0.00,51,638.51,407.41,2597.48,3.13,78.36,0.49,12.29,
2024-02-27,21:42:13.180,0.16,2.44,0.06,1.12,0.08,17.10,1.00,0.39,0.0000,0.0021, 16720,0.61,0.57,99,47,8225.18,3372.92,2597.43,4.88,121.93,0.32,7.92,0.03,1.59,0.02,1.22,0.01,2.09,0.99,0.38,0.0000,0.0013, 23480,0.43,0.01,95,45,1628.18,1025.90,2597.43,3.17,79.35,0.06,1.57,5.82,76.51,0.00,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.29,0.15,69.94,0.00,100.00,0.00,0.00,0.00,0.00,77.89,52.27,4.53 ,4.39 ,0.30 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.02,2.40,0.99,0.20,0.0000,0.0038,  3120,14.07,85.93,0.00,0.00,0.00,50,623.62,407.49,2597.43,3.06,76.52,0.48,12.00,
2024-02-27,21:42:14.180,0.16,2.49,0.06,1.12,0.07,16.87,1.00,0.39,0.0000,0.0021, 17040,0.61,0.56,99,46,8131.64,3263.23,2597.59,4.98,124.60,0.31,7.83,0.03,1.60,0.02,1.22,0.02,2.15,0.99,0.38,0.0000,0.0013, 24160,0.44,0.01,95,45,1605.32,1004.88,2597.59,3.20,79.88,0.06,1.55,5.63,76.67,0.01,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.30,0.15,69.97,0.00,100.00,0.00,0.00,0.00,0.00,78.01,52.21,4.52 ,4.39 ,0.27 ,0.33 ,3.00,3.00,0.24,1.56,0.15,1.12,0.02,2.36,0.99,0.20,0.0000,0.0038,  2960,13.68,86.32,0.00,0.00,0.00,51,620.18,396.29,2597.59,3.13,78.25,0.48,11.94,
2024-02-27,21:42:15.180,0.16,2.41,0.07,1.12,0.05,17.06,1.00,0.39,0.0000,0.0021, 16480,0.61,0.56,99,46,8173.97,3388.29,2597.38,4.82,120.62,0.31,7.87,0.03,1.57,0.02,1.22,0.02,2.04,0.99,0.41,0.0000,0.0012, 23760,0.44,0.01,95,45,1664.59,1062.79,2597.38,3.13,78.31,0.06,1.60,5.85,76.61,0.01,17.53,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.40,0.13,69.80,0.00,100.00,0.00,0.00,0.00,0.00,78.00,52.30,4.52 ,4.39 ,0.17 ,0.33 ,3.00,3.00,0.24,1.53,0.16,1.12,0.02,2.39,0.99,0.20,0.0000,0.0038,  3160,14.04,85.96,0.00,0.00,0.00,51,622.15,406.87,2597.38,3.06,76.45,0.48,11.98,
