System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core4 (Socket 0)-EXEC,Core4 (Socket 0)-IPC,Core4 (Socket 0)-FREQ,Core4 (Socket 0)-AFREQ,Core4 (Socket 0)-L3MISS,Core4 (Socket 0)-L2MISS,Core4 (Socket 0)-L3HIT,Core4 (Socket 0)-L2HIT,Core4 (Socket 0)-L3MPI,Core4 (Socket 0)-L2MPI,Core4 (Socket 0)-L3OCC,Core4 (Socket 0)-C0res%,Core4 (Socket 0)-C1res%,Core4 (Socket 0)-C3res%,Core4 (Socket 0)-C6res%,Core4 (Socket 0)-C7res%,Core4 (Socket 0)-TEMP,Core4 (Socket 0)-INST,Core4 (Socket 0)-ACYC,Core4 (Socket 0)-TIME(ticks),Core4 (Socket 0)-PhysIPC,Core4 (Socket 0)-PhysIPC%,Core4 (Socket 0)-INSTnom,Core4 (Socket 0)-INSTnom%,-
2024-02-27,23:58:05.860,0.33,3.04,0.11,1.12,0.15,7.06,0.98,0.71,0.0000,0.0004, 13920,0.13,0.11,99,49,16999.83,5583.68,2599.07,6.09,152.23,0.65,16.35,0.04,1.28,0.03,1.22,0.07,3.16,0.98,0.85,0.0000,0.0015, 22120,0.08,0.00,95,47,2136.63,1669.80,2599.07,2.56,63.98,0.08,2.05,9.63,71.63,0.03,18.72,0.00,100.00,0.00,0.00,0.00,0.00,2.64,28.45,0.19,68.71,0.00,100.00,0.00,0.00,0.00,0.00,78.34,51.98,4.22 ,4.34 ,443403.53 ,445258.18 ,3.00,3.00,0.92,3.57,0.26,1.12,0.01,0.80,0.99,0.11,0.0000,0.0003,   280,23.16,76.84,0.00,0.00,0.00,50,2398.68,671.29,2599.07,7.15,178.66,1.85,46.14,
2024-02-27,23:58:06.859,0.15,2.28,0.07,1.12,0.10,15.42,0.99,0.41,0.0000,0.0020, 14960,0.73,0.65,99,48,7739.31,3394.54,2595.62,4.56,114.00,0.30,7.45,0.03,1.54,0.02,1.22,0.04,2.13,0.98,0.42,0.0000,0.0013, 24200,0.47,0.02,94,48,1612.82,1048.12,2595.62,3.08,76.94,0.06,1.55,5.86,76.67,0.02,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.66,29.09,0.17,69.08,0.00,100.00,0.00,0.00,0.00,0.00,76.53,52.24,4.55 ,4.40 ,0.30 ,0.00 ,3.00,3.00,0.44,2.84,0.15,1.12,0.00,1.86,1.00,0.09,0.0000,0.0016,   360,13.88,86.12,0.00,0.00,0.00,50,1140.00,401.98,2595.62,5.67,141.80,0.88,21.96,
2024-02-27,23:58:07.860,0.15,2.29,0.07,1.11,0.08,15.88,0.99,0.38,0.0000,0.0020, 15760,0.70,0.62,99,48,7761.35,3394.45,2597.94,4.57,114.32,0.30,7.47,0.03,1.58,0.02,1.22,0.01,2.10,0.99,0.40,0.0000,0.0013, 23200,0.44,0.01,95,47,1605.98,1019.30,2597.94,3.15,78.78,0.06,1.55,5.86,76.81,0.01,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.32,0.14,69.93,0.00,100.00,0.00,0.00,0.00,0.00,77.06,52.06,4.57 ,4.39 ,0.27 ,0.33 ,3.00,3.00,0.40,2.60,0.15,1.12,0.00,1.93,1.00,0.09,0.0000,0.0019,   680,13.78,86.22,0.00,0.00,0.00,50,1039.30,399.42,2597.94,5.20,130.10,0.80,20.00,
2024-02-27,23:58:08.860,0.15,2.39,0.06,1.12,0.07,16.21,1.00,0.39,0.0000,0.0020, 16000,0.68,0.61,99,47,7919.83,3320.59,2597.88,4.77,119.25,0.30,7.62,0.03,1.56,0.02,1.22,0.02,2.20,0.99,0.40,0.0000,0.0014, 23600,0.45,0.01,95,47,1619.79,1040.03,2597.88,3.11,77.87,0.06,1.56,5.73,76.81,0.01,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.57,0.13,69.66,0.00,100.00,0.00,0.00,0.00,0.00,77.19,52.15,4.54 ,4.40 ,0.00 ,0.17 ,3.00,3.00,0.44,2.84,0.15,1.12,0.00,2.00,1.00,0.09,0.0000,0.0018,   720,13.86,86.14,0.00,0.00,0.00,49,1140.02,401.56,2597.88,5.68,141.95,0.88,21.94,
2024-02-27,23:58:09.860,0.15,2.41,0.06,1.12,0.07,16.45,1.00,0.38,0.0000,0.0021, 15840,0.67,0.60,99,47,7978.23,3316.73,2597.89,4.81,120.27,0.31,7.68,0.03,1.58,0.02,1.22,0.01,2.15,0.99,0.40,0.0000,0.0013, 23720,0.43,0.01,95,47,1654.70,1048.94,2597.89,3.15,78.87,0.06,1.59,5.72,76.95,0.00,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.37,0.14,69.83,0.00,100.00,0.00,0.00,0.00,0.00,77.45,52.11,4.55 ,4.38 ,0.33 ,0.10 ,3.00,3.00,0.44,2.82,0.15,1.12,0.00,2.03,1.00,0.09,0.0000,0.0018,   800,13.88,86.12,0.00,0.00,0.00,50,1134.41,402.13,2597.89,5.64,141.05,0.87,21.83,
2024-02-27,23:58:10.861,0.16,2.41,0.06,1.12,0.08,16.75,1.00,0.38,0.0000,0.0021, 16480,0.67,0.60,99,46,8123.74,3374.17,2597.71,4.82,120.38,0.31,7.82,0.03,1.49,0.02,1.21,0.03,2.16,0.99,0.40,0.0000,0.0014, 23800,0.44,0.01,95,46,1578.48,1056.83,2597.71,2.99,74.68,0.06,1.52,5.82,77.05,0.02,17.11,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.98,0.15,69.19,0.00,100.00,0.00,0.00,0.00,0.00,77.45,52.28,4.56 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.45,2.88,0.16,1.12,0.00,2.06,1.00,0.09,0.0000,0.0018,   800,14.01,85.99,0.00,0.00,0.00,49,1171.21,406.05,2597.71,5.77,144.22,0.90,22.54,
2024-02-27,23:58:11.861,0.15,2.28,0.06,1.12,0.11,15.96,0.99,0.40,0.0000,0.0021, 17080,0.68,0.62,98,46,7688.41,3365.54,2597.75,4.57,114.22,0.30,7.40,0.03,1.44,0.02,1.19,0.08,2.82,0.97,0.44,0.0000,0.0017, 23720,0.51,0.05,92,46,1679.97,1165.32,2597.75,2.88,72.08,0.06,1.62,5.81,78.08,0.04,16.07,0.00,100.00,0.00,0.00,0.00,0.00,1.88,32.33,0.19,65.59,0.00,100.00,0.00,0.00,0.00,0.00,77.65,53.30,4.53 ,4.42 ,0.33 ,0.00 ,3.00,3.00,0.42,2.74,0.15,1.12,0.00,1.94,1.00,0.09,0.0000,0.0018,  1000,13.59,86.41,0.00,0.00,0.00,49,1079.64,393.66,2597.75,5.49,137.13,0.83,20.78,
2024-02-27,23:58:12.860,0.16,2.44,0.06,1.12,0.08,17.19,1.00,0.38,0.0000,0.0021, 17720,0.64,0.59,99,47,8210.82,3366.19,2595.37,4.88,121.96,0.32,7.91,0.03,1.57,0.02,1.22,0.02,2.16,0.99,0.40,0.0000,0.0013, 23840,0.47,0.01,95,46,1623.34,1034.47,2595.37,3.14,78.46,0.06,1.56,5.81,76.69,0.02,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.40,0.19,69.78,0.00,100.00,0.00,0.00,0.00,0.00,77.64,52.16,4.54 ,4.39 ,0.07 ,0.33 ,3.00,3.00,0.45,2.87,0.16,1.12,0.00,2.13,1.00,0.09,0.0000,0.0018,   800,14.02,85.98,0.00,0.00,0.00,49,1166.52,405.75,2595.37,5.75,143.75,0.90,22.47,
2024-02-27,23:58:13.861,0.16,2.42,0.06,1.12,0.07,17.06,1.00,0.38,0.0000,0.0021, 17360,0.64,0.58,99,46,8101.30,3345.91,2597.71,4.84,121.06,0.31,7.80,0.03,1.58,0.02,1.22,0.02,2.16,0.99,0.40,0.0000,0.0013, 24680,0.44,0.01,95,46,1628.36,1027.70,2597.71,3.17,79.22,0.06,1.57,5.77,76.73,0.01,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.27,0.14,69.97,0.00,100.00,0.00,0.00,0.00,0.00,77.81,52.20,4.53 ,4.38 ,0.33 ,0.10 ,3.00,3.00,0.44,2.83,0.16,1.12,0.00,2.12,1.00,0.09,0.0000,0.0018,   800,14.02,85.98,0.00,0.00,0.00,49,1149.67,406.10,2597.71,5.66,141.55,0.89,22.13,
2024-02-27,23:58:14.861,0.16,2.43,0.06,1.12,0.06,17.15,1.00,0.38,0.0000,0.0021, 18320,0.64,0.58,99,46,8131.87,3344.36,2597.72,4.86,121.58,0.31,7.83,0.03,1.53,0.02,1.22,0.02,2.09,0.99,0.43,0.0000,0.0013, 24600,0.43,0.01,95,47,1590.03,1036.12,2597.72,3.07,76.73,0.06,1.53,5.77,76.77,0.01,17.45,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.50,0.13,69.74,0.00,100.00,0.00,0.00,0.00,0.00,77.95,52.39,4.54 ,4.40 ,0.00 ,0.00 ,3.00,3.00,0.45,2.87,0.16,1.12,0.00,2.14,1.00,0.09,0.0000,0.0018,  1000,13.92,86.08,0.00,0.00,0.00,49,1159.28,403.43,2597.72,5.75,143.68,0.89,22.31,
