System-Date,System-Time,System-EXEC,System-IPC,System-FREQ,System-AFREQ,System-L3MISS,System-L2MISS,System-L3HIT,System-L2HIT,System-L3MPI,System-L2MPI,System-READ,System-WRITE,System-LOCAL,System-INST,System-ACYC,System-TIME(ticks),System-PhysIPC,System-PhysIPC%,System-INSTnom,System-INSTnom%,System Core C-States-C0res%,System Core C-States-C1res%,System Core C-States-C3res%,System Core C-States-C6res%,System Core C-States-C7res%,System Pack C-States-C0res%,System Pack C-States-C2res%,System Pack C-States-C3res%,System Pack C-States-C6res%,System Pack C-States-C7res%,System-Proc Energy (Joules),System-DRAM Energy (Joules),System-LLCRDMISSLAT (ns),System-UncFREQ (Ghz),Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core0 (Socket 0)-EXEC,Core0 (Socket 0)-IPC,Core0 (Socket 0)-FREQ,Core0 (Socket 0)-AFREQ,Core0 (Socket 0)-L3MISS,Core0 (Socket 0)-L2MISS,Core0 (Socket 0)-L3HIT,Core0 (Socket 0)-L2HIT,Core0 (Socket 0)-L3MPI,Core0 (Socket 0)-L2MPI,Core0 (Socket 0)-L3OCC,Core0 (Socket 0)-C0res%,Core0 (Socket 0)-C1res%,Core0 (Socket 0)-C3res%,Core0 (Socket 0)-C6res%,Core0 (Socket 0)-C7res%,Core0 (Socket 0)-TEMP,Core0 (Socket 0)-INST,Core0 (Socket 0)-ACYC,Core0 (Socket 0)-TIME(ticks),Core0 (Socket 0)-PhysIPC,Core0 (Socket 0)-PhysIPC%,Core0 (Socket 0)-INSTnom,Core0 (Socket 0)-INSTnom%,-
2025-09-13,13:53:55.025,0.08,2.42,0.03,1.17,0.1,0.97,0.9,0.37,0.0,0.0001,0.01,0.01,52,8496.44,3513.43,2603.51,4.84,120.91,0.16,4.08,2.87,3.05,0.0,94.08,0.0,52.5,47.5,0.0,0.0,0.0,64.58,5.13,1025358.18,2.18,0.16,2.49,0.07,1.22,0.03,0.41,0.94,0.3,0.0,0.0,13000,0.01,0.0,28,42,8465.7,3397.92,2603.51,4.98,124.57,0.33,8.13,0.0,0.27,0.0,0.54,0.07,0.56,0.87,0.41,0.0023,0.0181,15160,0.0,0.0,86,48,30.74,115.51,2603.51,0.53,13.31,0.0,0.03,5.34,5.47,0.0,89.19,0.0,100.0,0.0,0.0,0.0,0.0,0.41,0.62,0.01,98.96,0.0,4.99,95.01,0.0,0.0,0.0,44.94,19.63,3.11,2.03,520246.13,2893881.34,3.0,1.36,3.24,2.56,1.27,1.27,0.01,0.03,0.71,0.59,0.0,0.0,440,99.97,0.03,0.0,0.0,0.0,43,8447.48,3300.18,2603.51,5.12,127.99,6.49,162.23,
2025-09-13,13:53:56.029,0.08,2.41,0.03,1.17,0.1,1.6,0.94,0.34,0.0,0.0002,0.02,0.13,98,8418.26,3487.33,2607.49,4.83,120.7,0.16,4.04,2.87,3.0,0.0,94.14,0.0,52.01,47.99,0.0,0.0,0.0,63.77,6.36,0.24,2.1,0.16,2.47,0.07,1.22,0.08,1.15,0.93,0.36,0.0,0.0001,14760,0.02,0.13,99,44,8401.28,3394.77,2607.49,4.95,123.74,0.32,8.06,0.0,0.18,0.0,0.46,0.02,0.45,0.95,0.25,0.0012,0.0264,15360,0.0,0.0,35,48,16.98,92.55,2607.49,0.37,9.17,0.0,0.02,5.35,5.46,0.0,89.2,0.0,100.0,0.0,0.0,0.0,0.0,0.38,0.54,0.0,99.07,0.0,4.01,95.99,0.0,0.0,0.0,45.17,18.6,4.16,2.2,0.33,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.06,0.78,0.92,0.41,0.0,0.0001,3840,99.97,0.03,0.0,0.0,0.0,44,8385.01,3305.98,2607.49,5.07,126.82,6.43,160.79,
2025-09-13,13:53:57.041,0.08,2.41,0.03,1.16,0.13,1.87,0.93,0.38,0.0,0.0002,0.02,0.13,96,8515.66,3535.38,2628.11,4.82,120.43,0.16,4.05,2.91,3.09,0.0,94.01,0.0,52.86,47.14,0.0,0.0,0.0,64.33,6.29,0.14,2.1,0.16,2.48,0.07,1.22,0.03,1.09,0.97,0.37,0.0,0.0001,14960,0.02,0.13,96,43,8481.04,3419.9,2628.11,4.96,124.0,0.32,8.07,0.0,0.3,0.0,0.46,0.1,0.78,0.87,0.4,0.0029,0.0226,18080,0.0,0.0,92,47,34.62,115.48,2628.11,0.6,14.99,0.0,0.03,5.34,5.45,0.0,89.21,0.0,100.0,0.0,0.0,0.0,0.0,0.48,0.72,0.0,98.8,0.0,5.72,94.28,0.0,0.0,0.0,45.57,18.76,4.2,2.08,0.2,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.72,0.98,0.42,0.0,0.0001,3960,99.97,0.03,0.0,0.0,0.0,43,8464.98,3332.45,2628.11,5.08,127.01,6.44,161.05,
2025-09-13,13:53:58.045,0.08,2.42,0.03,1.17,0.05,1.52,0.97,0.34,0.0,0.0002,0.02,0.13,98,8426.38,3488.27,2607.38,4.83,120.78,0.16,4.04,2.87,2.99,0.0,94.13,0.0,51.87,48.13,0.0,0.0,0.0,63.83,6.17,0.05,2.1,0.16,2.48,0.07,1.22,0.03,1.09,0.97,0.37,0.0,0.0001,15400,0.01,0.13,99,41,8409.48,3395.55,2607.38,4.95,123.83,0.32,8.06,0.0,0.18,0.0,0.46,0.02,0.43,0.96,0.26,0.0011,0.0256,18160,0.0,0.0,49,48,16.9,92.72,2607.38,0.36,9.12,0.0,0.02,5.35,5.47,0.0,89.18,0.0,100.0,0.0,0.0,0.0,0.0,0.39,0.52,0.01,99.08,0.0,3.75,96.25,0.0,0.0,0.0,45.24,18.59,4.16,2.01,0.07,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.02,0.71,0.98,0.42,0.0,0.0001,4440,99.97,0.03,0.0,0.0,0.0,41,8393.12,3305.91,2607.38,5.08,126.94,6.44,160.95,
2025-09-13,13:53:59.049,0.08,2.4,0.03,1.16,0.04,1.57,0.97,0.39,0.0,0.0002,0.02,0.13,98,8434.91,3509.62,2607.36,4.81,120.17,0.16,4.04,2.91,3.03,0.0,94.06,0.0,52.36,47.64,0.0,0.0,0.0,63.89,6.18,0.1,2.1,0.16,2.47,0.07,1.21,0.02,1.07,0.98,0.37,0.0,0.0001,15440,0.01,0.13,98,42,8410.15,3402.06,2607.36,4.94,123.6,0.32,8.06,0.0,0.23,0.0,0.46,0.02,0.5,0.95,0.43,0.0009,0.0202,18360,0.0,0.0,60,47,24.76,107.56,2607.36,0.46,11.51,0.0,0.02,5.38,5.48,0.0,89.15,0.0,100.0,0.0,0.0,0.0,0.0,0.45,0.58,0.0,98.97,0.0,4.73,95.27,0.0,0.0,0.0,45.3,18.59,4.16,2.02,0.13,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.7,0.99,0.42,0.0,0.0001,4480,99.97,0.03,0.0,0.0,0.0,42,8392.97,3305.7,2607.36,5.08,126.95,6.44,160.95,
2025-09-13,13:54:00.053,0.08,2.4,0.03,1.15,0.07,2.04,0.97,0.33,0.0,0.0002,0.02,0.13,98,8438.33,3514.91,2607.37,4.8,120.04,0.16,4.05,2.93,8.06,0.09,88.92,0.0,65.84,34.16,0.0,0.0,0.0,64.46,6.38,0.48,2.1,0.16,2.47,0.07,1.21,0.03,1.25,0.98,0.36,0.0,0.0001,15320,0.01,0.13,98,41,8409.13,3401.66,2607.37,4.94,123.6,0.32,8.06,0.0,0.26,0.0,0.46,0.04,0.79,0.95,0.29,0.0014,0.027,19160,0.0,0.0,77,47,29.2,113.25,2607.37,0.52,12.89,0.0,0.03,5.38,5.73,0.17,88.71,0.0,100.0,0.0,0.0,0.0,0.0,0.47,10.38,0.02,89.13,0.0,31.67,68.33,0.0,0.0,0.0,45.36,19.1,4.17,2.21,0.33,0.83,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.69,0.99,0.42,0.0,0.0001,4440,99.94,0.06,0.0,0.0,0.0,41,8390.16,3303.26,2607.37,5.08,127.0,6.44,160.89,
2025-09-13,13:54:01.057,0.08,2.39,0.03,1.16,0.09,1.95,0.95,0.44,0.0,0.0002,0.02,0.13,97,8427.15,3529.89,2607.38,4.77,119.37,0.16,4.04,2.91,2.99,0.01,94.09,0.0,52.49,47.51,0.0,0.0,0.0,63.92,6.24,0.12,2.1,0.16,2.45,0.07,1.22,0.07,1.42,0.95,0.44,0.0,0.0002,17240,0.02,0.13,98,42,8403.12,3428.49,2607.38,4.9,122.55,0.32,8.06,0.0,0.24,0.0,0.46,0.03,0.53,0.95,0.42,0.001,0.0222,19240,0.0,0.0,37,47,24.04,101.4,2607.38,0.47,11.85,0.0,0.02,5.4,5.4,0.0,89.2,0.0,100.0,0.0,0.0,0.0,0.0,0.42,0.59,0.01,98.98,0.0,4.98,95.02,0.0,0.0,0.0,45.31,18.6,4.17,2.07,0.17,0.0,3.0,1.2,3.21,2.53,1.27,1.27,0.01,0.71,0.99,0.41,0.0,0.0001,4360,99.97,0.03,0.0,0.0,0.0,42,8365.73,3305.91,2607.38,5.06,126.53,6.42,160.42,
2025-09-13,13:54:02.061,0.08,2.42,0.03,1.17,0.04,1.54,0.98,0.34,0.0,0.0002,0.01,0.13,98,8430.12,3486.75,2607.4,4.84,120.89,0.16,4.04,2.87,3.01,0.01,94.12,0.0,51.9,48.1,0.0,0.0,0.0,63.96,6.2,0.1,2.1,0.16,2.48,0.07,1.22,0.02,1.1,0.98,0.36,0.0,0.0001,17080,0.01,0.13,99,41,8413.28,3394.95,2607.4,4.96,123.91,0.32,8.07,0.0,0.18,0.0,0.46,0.02,0.44,0.96,0.26,0.0011,0.0261,19280,0.0,0.0,50,46,16.84,91.8,2607.4,0.37,9.17,0.0,0.02,5.35,5.5,0.0,89.16,0.0,100.0,0.0,0.0,0.0,0.0,0.38,0.52,0.01,99.09,0.0,3.8,96.2,0.0,0.0,0.0,45.37,18.59,4.19,2.01,0.13,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.7,0.99,0.42,0.0,0.0001,4480,99.96,0.04,0.0,0.0,0.0,42,8396.73,3305.6,2607.4,5.08,127.01,6.44,161.02,
2025-09-13,13:54:03.065,0.08,2.41,0.03,1.15,0.07,1.87,0.96,0.39,0.0,0.0002,0.02,0.13,98,8454.2,3511.72,2607.32,4.81,120.37,0.16,4.05,2.92,3.11,0.01,93.97,0.0,52.68,47.32,0.0,0.0,0.0,64.05,6.22,203453.7,2.1,0.16,2.48,0.07,1.21,0.03,1.12,0.98,0.38,0.0,0.0001,17360,0.01,0.13,98,42,8421.66,3400.18,2607.32,4.95,123.84,0.32,8.07,0.0,0.29,0.0,0.46,0.04,0.75,0.95,0.39,0.0012,0.0231,19680,0.0,0.0,77,48,32.54,111.54,2607.32,0.58,14.59,0.0,0.03,5.37,5.52,0.0,89.11,0.0,100.0,0.0,0.0,0.0,0.0,0.46,0.7,0.01,98.83,0.0,5.36,94.64,0.0,0.0,0.0,45.44,18.61,4.17,2.05,199406.47,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.7,0.99,0.42,0.0,0.0001,4440,99.96,0.04,0.0,0.0,0.0,41,8395.55,3305.28,2607.32,5.08,127.0,6.44,161.0,
2025-09-13,13:54:04.069,0.08,2.42,0.03,1.17,0.04,1.53,0.98,0.37,0.0,0.0002,0.01,0.13,98,8435.73,3489.26,2607.39,4.84,120.88,0.16,4.04,2.87,2.98,0.0,94.15,0.0,52.0,48.0,0.0,0.0,0.0,63.98,6.17,0.05,2.1,0.16,2.48,0.07,1.22,0.02,1.08,0.98,0.36,0.0,0.0001,17440,0.01,0.13,99,41,8414.69,3394.4,2607.39,4.96,123.95,0.32,8.07,0.0,0.22,0.0,0.46,0.02,0.45,0.96,0.37,0.0009,0.0212,19680,0.0,0.0,53,48,21.04,94.87,2607.39,0.44,11.09,0.0,0.02,5.35,5.47,0.0,89.19,0.0,100.0,0.0,0.0,0.0,0.0,0.39,0.5,0.0,99.11,0.0,4.0,96.0,0.0,0.0,0.0,45.39,18.6,4.16,2.01,0.07,0.0,3.0,1.2,3.22,2.54,1.27,1.27,0.01,0.7,0.99,0.41,0.0,0.0001,4640,99.97,0.03,0.0,0.0,0.0,41,8398.5,3305.91,2607.39,5.08,127.02,6.44,161.05,
