SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
6.28,3.45,3.18,0.34,9.46,3.79,1981326502,13.25,0.54,1.23,0.68,1.36,1.22,2.59,1982146421,3.81,10.68,6.38,17.06
11.18,61.52,7.79,58.1,18.97,119.61,2132921703,138.59,0.57,0.7,0.68,0.82,1.25,1.52,2132390344,2.77,20.22,121.13,141.36
10.61,65.01,7.19,61.53,17.8,126.54,2132978030,144.35,1.91,1.92,2.06,2.12,3.97,4.04,2132968214,8.01,21.77,130.58,152.36
8.96,64.78,5.54,61.31,14.5,126.09,2132986318,140.58,0.59,0.14,0.69,0.26,1.28,0.4,2132982675,1.68,15.78,126.49,142.26
8.74,64.65,5.31,61.17,14.05,125.82,2135109728,139.87,0.56,0.15,0.69,0.31,1.25,0.46,2135110474,1.71,15.3,126.28,141.58
9.03,64.65,5.61,61.24,14.64,125.89,2132967580,140.53,1.4,0.65,2.44,1.71,3.84,2.36,2132977449,6.19,18.48,128.24,146.72
8.69,64.56,5.26,61.09,13.95,125.65,2132978753,139.59,0.57,0.11,0.7,0.26,1.27,0.37,2132972840,1.63,15.21,126.02,141.23
10.46,65.35,7.05,61.87,17.5,127.23,2132983057,144.73,0.76,0.47,0.86,0.61,1.63,1.07,2132981651,2.7,19.13,128.3,147.43
8.91,64.65,5.49,61.21,14.4,125.86,2132971371,140.26,1.36,0.59,1.51,0.77,2.87,1.36,2133427097,4.23,17.27,127.21,144.49
8.5,64.44,5.08,60.98,13.59,125.42,2132987733,139.01,0.5,0.09,0.59,0.21,1.09,0.3,2132527018,1.39,14.68,125.72,140.4
8.55,64.49,5.15,61.06,13.7,125.54,2135106168,139.24,0.54,0.1,0.66,0.25,1.19,0.36,2135109314,1.55,14.89,125.9,140.79
9.18,65.03,5.8,61.56,14.98,126.59,2132989426,141.57,1.68,0.48,2.46,1.29,4.14,1.77,2132992892,5.91,19.13,128.36,147.48
