Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-13,13:53:54.964,0,84,0,115682,219632,0,1904,0(Total)
2025-09-13,13:53:54.964,0,10201394,0,378,4732,0,0,70(Miss)
2025-09-13,13:53:54.964,0,0,0,115304,214900,0,1904,0(Hit)
2025-09-13,13:53:54.964,1,0,0,314006,231028,0,0,0(Total)
2025-09-13,13:53:54.964,1,7981358,0,1946,4494,0,0,0(Miss)
2025-09-13,13:53:54.964,1,0,0,312060,226534,0,0,0(Hit)
Date,Time,Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
2025-09-13,13:53:55.978,0,2071230,120064,204848,834484,1908830,0,4018(Total)
2025-09-13,13:53:55.978,0,6622,118902,28294,15288,1793540,1988,4018(Miss)
2025-09-13,13:53:55.978,0,2064608,1162,176554,819196,115290,0,0(Hit)
2025-09-13,13:53:55.978,1,0,0,100912,218274,0,0,0(Total)
2025-09-13,13:53:55.978,1,0,0,1862,2884,0,0,0(Miss)
