Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1757764435,Device: id=0,RX,109760.000000,916.000000,916.715520,0,0
1757764436,Device: id=0,RX,119680.000000,999.000000,999.567360,0,0
1757764437,Device: id=0,RX,119744.000000,1000.000000,1000.101888,0,0
1757764438,Device: id=0,RX,119680.000000,999.000000,999.567360,0,0
1757764439,Device: id=0,RX,119683.000000,999.000000,999.592416,0,0
1757764440,Device: id=0,RX,119741.000000,1000.000000,1000.076832,0,0
1757764441,Device: id=0,RX,119680.000000,999.000000,999.567360,0,0
1757764442,Device: id=0,RX,119744.000000,1000.000000,1000.101888,0,0
1757764443,Device: id=0,RX,119680.000000,999.000000,999.567360,0,0
1757764444,Device: id=0,RX,119744.000000,1000.000000,1000.101888,0,0
1757764445,Device: id=0,RX,119680.000000,999.000000,999.567360,0,0
1757764446,Device: id=0,RX,119744.000000,1000.000000,1000.101888,0,0
