Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1689625763,Device: id=0,TX,1.3199218710703,1351.6102358819,1562.7977352531,1319993,168961152
1689625764,Device: id=0,TX,4.476917882092,4584.3546953222,5300.6615564569,5796940,742009216
1689625765,Device: id=0,TX,4.5737014724649,4683.4703078041,5415.2625433985,10370644,1327443328
1689625766,Device: id=0,TX,4.5971166838668,4707.4474842796,5442.9861536983,14967767,1915875072
1689625767,Device: id=0,TX,3.4599960053522,3543.0461493919,4096.6455102483,18427793,2358759680
1689625768,Device: id=0,TX,4.5821332448049,4692.2027464924,5425.3440656612,23009935,2945286144
1689625769,Device: id=0,TX,4.568862597859,4678.401637163,5409.4196528204,27578836,3530091264
1689625770,Device: id=0,TX,4.5622521434207,4671.7461948628,5401.7065378101,32141111,4114062464
1689625771,Device: id=0,TX,4.0607238828997,4158.1802321072,4807.8960533711,36201906,4633844096
1689625772,Device: id=0,TX,3.0925449885704,3166.7650442967,3661.572242468,39294453,5029689984
1689625773,Device: id=0,TX,3.1330382793835,3208.2598699906,3709.545994692,42427502,5430723840
1689625774,Device: id=0,TX,3.0347897477957,3107.5970540093,3593.1634136566,45462321,5819177216
