Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1697903874,Device: id=1,RX,0,0,0,0,0
1697903875,Device: id=1,RX,0,0,0,0,0
1697903876,Device: id=1,RX,1.8713353649281,1916.2474136864,2215.6610720749,1891250,242080000
1697903877,Device: id=1,RX,2.4391804017943,2497.7207314373,2887.9895957244,4330609,554317952
1697903878,Device: id=1,RX,2.467234968839,2526.4486080912,2921.2062031054,6797926,870134528
1697903879,Device: id=1,RX,2.4699877473722,2529.2695012833,2924.4675408628,9267945,1186297216
1697903880,Device: id=1,RX,2.4354305741867,2493.8788601248,2883.5477519947,11703563,1498056064
1697903881,Device: id=1,RX,2.4860598505004,2545.7252869124,2943.4948629924,14189629,1816272512
1697903882,Device: id=1,RX,2.984877694211,3056.5280707725,3534.1085018463,17174529,2198341376
1697903883,Device: id=1,RX,5.1227050627662,5245.6479362865,6065.2807463291,22297269,2854051840
1697903884,Device: id=1,RX,7.8068835138423,7994.2722700825,9243.3736322973,30104183,3853339776
1697903885,Device: id=1,RX,7.8174915377687,8005.0806147162,9255.8792607592,37921685,4853976192
