Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661935667,Device: id=0,TX,0.14634465081457,414.26821153598,437.68335566631,146360,51789602
1661935668,Device: id=0,TX,0.65195595625531,1842.4972439135,1946.8101969144,798339,282109898
1661935669,Device: id=0,TX,0.70742329744125,1999.9393836612,2113.1271112518,1505765,532103276
1661935670,Device: id=0,TX,0.70799667490134,1999.9290058117,2113.208473796,2213767,782096282
1661935671,Device: id=0,TX,0.70856476724773,1999.9686481402,2113.3390108998,2922394,1032114320
1661935672,Device: id=0,TX,0.70723476165282,1999.9030228658,2113.0605847303,3629705,1282129146
1661935673,Device: id=0,TX,0.70717087312822,1999.9274531298,2113.0747928303,4336877,1532120476
1661935674,Device: id=0,TX,0.7073648048201,1999.9389023151,2113.1172710863,5044303,1782134466
1661935675,Device: id=0,TX,0.70636335088391,1999.9750183212,2112.9931544626,5750680,2032136174
1661935676,Device: id=0,TX,0.7073378261378,1999.8945360553,2113.0685882374,6458036,2282129414
1661935677,Device: id=0,TX,0.70761970712934,1999.9739948873,2113.193148028,7165660,2532127680
1661935678,Device: id=0,TX,0.70660329034404,1999.8923546997,2112.9488811548,7872308,2782130042
