Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661936088,Device: id=1,RX,0.1388552601733,392.55589074048,414.77273236821,148746,52564734
1661936089,Device: id=1,RX,0.70023234370477,1975.8978849841,2087.9350599769,848983,299553612
1661936090,Device: id=1,RX,0.70735794105319,1997.5550668125,2110.732337381,1556379,549261430
1661936091,Device: id=1,RX,0.70745754922057,1996.6345666491,2109.8277745244,2263901,798863488
1661936092,Device: id=1,RX,0.70704211712142,1997.8725024418,2110.9992411812,2970960,1048603514
1661936093,Device: id=1,RX,0.70865020933005,1997.0375311448,2110.4215646376,3679642,1298244404
1661936094,Device: id=1,RX,0.70625855954609,1997.9060545221,2110.9074240495,4385933,1547994132
1661936095,Device: id=1,RX,0.70702959392839,1997.4243698333,2110.5491048619,5092995,1797683622
1661936096,Device: id=1,RX,0.70633344427629,1997.327764858,2110.3411159422,5799361,2047361100
1661936097,Device: id=1,RX,0.70630976895115,1997.5511422178,2110.56070525,6505726,2297074518
1661936098,Device: id=1,RX,0.70556750130131,1997.3914913201,2110.2822915283,7211315,2546756062
1661936099,Device: id=1,RX,0.70641385035394,1997.8804677189,2110.9066837755,7917774,2796507082
